"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ORBN0036","01"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","01","99","99","    6.21"," ","E"," 8"
"US1ORBN0036","02"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","02","99","99","    5.09"," ","E","11"
"US1ORBN0036","03"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","03","99","99","    5.77"," ","E","11"
"US1ORBN0036","04"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","04","99","99","    3.41"," ","E"," 7"
"US1ORBN0036","05"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","05","99","99","    2.23"," ","E"," 8"
"US1ORBN0036","06"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","06","99","99","    1.47"," ","E"," 7"
"US1ORBN0036","07"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","07","99","99","    0.34"," ","E","13"
"US1ORBN0036","08"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","08","99","99","    0.38"," ","E","13"
"US1ORBN0036","09"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","09","99","99","    1.93"," ","E","12"
"US1ORBN0036","10"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","10","99","99","    3.75"," ","E","10"
"US1ORBN0036","11"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","11","99","99","    6.66"," ","E"," 7"
"US1ORBN0036","12"," 44.6911","-123.1483","  72.8","NORTH ALBANY 2.7 NW, OR US","12","99","99","    7.26"," ","E"," 9"
