"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1ORLA0130","01"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","01","99","99","   10.61"," ","S","12","    17.1"," ","S","12","    13.4"," ","S","12","    10.5"," ","S","12","     7.2"," ","S","12","     2.9"," ","S","12","     0.8"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    8.06"," ","S","12","    9.04"," ","S","12","   12.79"," ","S","12","    7.68"," ","S","12","    8.65"," ","S","12","    9.87"," ","S","12","   15.44"," ","S","12","    8.29"," ","S","12","   10.10"," ","S","12"
"US1ORLA0130","02"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","02","99","99","    8.16"," ","S","13","    17.8"," ","S","13","    14.3"," ","S","13","    10.2"," ","S","13","     6.1"," ","S","13","     2.0"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    5.71"," ","S","13","    6.98"," ","S","13","    9.78"," ","S","13","    5.35"," ","S","13","    6.52"," ","S","13","    7.27"," ","S","13","   10.38"," ","S","13","    6.07"," ","S","13","    8.17"," ","S","13"
"US1ORLA0130","03"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","03","99","99","    9.79"," ","S","12","    20.7"," ","S","13","    16.0"," ","S","13","    12.7"," ","S","13","     8.1"," ","S","13","     2.5"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    6.23"," ","S","12","    9.78"," ","S","12","   12.82"," ","S","12","    6.03"," ","S","12","    7.06"," ","S","12","   11.14"," ","S","12","   14.41"," ","S","12","    6.32"," ","S","12","   11.36"," ","S","12"
"US1ORLA0130","04"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","04","99","99","    7.46"," ","S","13","    18.9"," ","S","13","    14.5"," ","S","13","    10.5"," ","S","13","     5.9"," ","S","13","     1.2"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    6.08"," ","S","13","    6.47"," ","S","13","    8.60"," ","S","13","    5.94"," ","S","13","    6.16"," ","S","13","    6.91"," ","S","13","    9.07"," ","S","13","    6.12"," ","S","13","    7.75"," ","S","13"
"US1ORLA0130","05"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","05","99","99","    4.07"," ","S","12","    14.5"," ","S","13","     9.5"," ","S","13","     6.0"," ","S","13","     2.8"," ","S","13","     0.4"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.12"," ","S","12","    4.85"," ","S","12","    5.65"," ","S","12","    2.04"," ","S","12","    3.53"," ","S","12","    5.10"," ","S","12","    5.92"," ","S","12","    3.04"," ","S","12","    5.27"," ","S","12"
"US1ORLA0130","06"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","06","99","99","    2.77"," ","R","10","    10.4"," ","S","13","     6.8"," ","S","13","     4.8"," ","S","13","     1.4"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.76"," ","R","10","    2.44"," ","R","10","    3.14"," ","R","10","    1.56"," ","R","10","    2.10"," ","R","10","    2.52"," ","R","10","    3.35"," ","R","10","    1.99"," ","R","10","    2.76"," ","R","10"
"US1ORLA0130","07"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","07","99","99","    0.58"," ","R","11","     2.3"," ","S","13","     1.2"," ","S","13","     0.6"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.00"," ","R","11","    0.12"," ","R","11","    0.90"," ","R","11","    0.00"," ","R","11","    0.10"," ","R","11","    0.30"," ","R","11","    1.42"," ","R","11","    0.05"," ","R","11","    0.45"," ","R","11"
"US1ORLA0130","08"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","08","99","99","    0.55"," ","S","12","     3.3"," ","S","13","     1.5"," ","S","13","     0.8"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.06"," ","S","12","    0.57"," ","S","12","    0.87"," ","S","12","    0.05"," ","S","12","    0.10"," ","S","12","    0.67"," ","S","12","    0.97"," ","S","12","    0.09"," ","S","12","    0.77"," ","S","12"
"US1ORLA0130","09"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","09","99","99","    2.63"," ","R","11","     7.3"," ","S","12","     4.5"," ","S","12","     2.8"," ","S","12","     1.7"," ","S","12","     0.9"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.84"," ","R","11","    1.61"," ","R","11","    3.60"," ","R","11","    0.44"," ","R","11","    1.42"," ","R","11","    2.25"," ","R","11","    4.62"," ","R","11","    1.28"," ","R","11","    2.63"," ","R","11"
"US1ORLA0130","10"," 44.1783","-122.1625"," 417.0","MCKENZIE BRIDGE 1 N, OR US","10","99","99","    6.50"," ","R","11","    15.2"," ","S","12","    11.4"," ","S","12","     8.7"," ","S","12","     4.4"," ","S","12","     2.3"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.57"," ","R","11","    4.93"," ","R","11","    8.41"," ","R","11","    3.41"," ","R","11","    4.32"," ","R","11","    7.83"," ","R","11","    9.06"," ","R","11","    3.96"," ","R","11","    8.06"," ","R","11"
