"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ORLN0062","01"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","01","99","99","    6.08"," ","E"," 2"
"US1ORLN0062","02"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","02","99","99","    5.39"," ","E"," 2"
"US1ORLN0062","03"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","03","99","99","    6.57"," ","E"," 4"
"US1ORLN0062","04"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","04","99","99","    4.14"," ","E"," 5"
"US1ORLN0062","05"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","05","99","99","    3.17"," ","E"," 5"
"US1ORLN0062","06"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","06","99","99","    2.06"," ","E"," 5"
"US1ORLN0062","07"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","07","99","99","    0.39"," ","E"," 4"
"US1ORLN0062","08"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","08","99","99","    0.51"," ","E"," 3"
"US1ORLN0062","09"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","09","99","99","    2.16"," ","E"," 4"
"US1ORLN0062","10"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","10","99","99","    4.97"," ","E"," 5"
"US1ORLN0062","11"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","11","99","99","    6.89"," ","E"," 5"
"US1ORLN0062","12"," 44.6160","-122.7710"," 152.4","SCIO 7.3 SSE, OR US","12","99","99","    7.50"," ","E"," 4"
