"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ORMT0082","01"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","01","99","99","    7.01"," ","E"," 4"
"US1ORMT0082","02"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","02","99","99","    4.22"," ","E"," 3"
"US1ORMT0082","03"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","03","99","99","    5.20"," ","E"," 4"
"US1ORMT0082","04"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","04","99","99","    3.96"," ","E"," 5"
"US1ORMT0082","05"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","05","99","99","    3.30"," ","E"," 5"
"US1ORMT0082","06"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","06","99","99","    2.27"," ","E"," 5"
"US1ORMT0082","07"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","07","99","99","    0.44"," ","E"," 4"
"US1ORMT0082","08"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","08","99","99","    0.44"," ","E"," 5"
"US1ORMT0082","09"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","09","99","99","    2.01"," ","E"," 5"
"US1ORMT0082","10"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","10","99","99","    4.11"," ","E"," 6"
"US1ORMT0082","11"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","11","99","99","    6.55"," ","E"," 6"
"US1ORMT0082","12"," 45.5061","-122.5589","  84.1","PORTLAND 5.2 ESE, OR US","12","99","99","    7.03"," ","E"," 5"
