"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ORYM0001","01"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","01","99","99","    7.27"," ","E"," 7"
"US1ORYM0001","02"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","02","99","99","    5.61"," ","E"," 6"
"US1ORYM0001","03"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","03","99","99","    5.80"," ","E"," 4"
"US1ORYM0001","04"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","04","99","99","    3.64"," ","E"," 6"
"US1ORYM0001","05"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","05","99","99","    2.60"," ","E"," 7"
"US1ORYM0001","06"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","06","99","99","    1.55"," ","E"," 3"
"US1ORYM0001","07"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","07","99","99","    0.33"," ","E"," 6"
"US1ORYM0001","08"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","08","99","99","    0.39"," ","E"," 7"
"US1ORYM0001","09"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","09","99","99","    1.92"," ","E"," 9"
"US1ORYM0001","10"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","10","99","99","    4.66"," ","E"," 8"
"US1ORYM0001","11"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","11","99","99","    7.68"," ","E"," 5"
"US1ORYM0001","12"," 45.4000","-123.1830","  89.9","GASTON 3.2 SW, OR US","12","99","99","    8.45"," ","E","10"
