"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1PAMT0048","01"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","01","99","99","    3.59"," ","E"," 3"
"US1PAMT0048","02"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","02","99","99","    3.45"," ","E"," 4"
"US1PAMT0048","03"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","03","99","99","    4.28"," ","E"," 5"
"US1PAMT0048","04"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","04","99","99","    4.14"," ","E"," 5"
"US1PAMT0048","05"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","05","99","99","    4.10"," ","E"," 5"
"US1PAMT0048","06"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","06","99","99","    4.95"," ","E"," 5"
"US1PAMT0048","07"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","07","99","99","    5.36"," ","E"," 4"
"US1PAMT0048","08"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","08","99","99","    5.65"," ","E"," 2"
"US1PAMT0048","09"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","09","99","99","    4.17"," ","E"," 7"
"US1PAMT0048","10"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","10","99","99","    5.00"," ","E"," 6"
"US1PAMT0048","11"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","11","99","99","    3.39"," ","E"," 6"
"US1PAMT0048","12"," 40.0082"," -75.3003","  98.8","ARDMORE 0.5 NW, PA US","12","99","99","    4.84"," ","E"," 5"
