"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1SCPC0022","01"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","01","99","99","    5.63"," ","E"," 4"
"US1SCPC0022","02"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","02","99","99","    5.54"," ","E"," 6"
"US1SCPC0022","03"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","03","99","99","    4.98"," ","E"," 5"
"US1SCPC0022","04"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","04","99","99","    5.69"," ","E"," 5"
"US1SCPC0022","05"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","05","99","99","    6.07"," ","E"," 6"
"US1SCPC0022","06"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","06","99","99","    4.77"," ","E"," 7"
"US1SCPC0022","07"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","07","99","99","    5.67"," ","E"," 6"
"US1SCPC0022","08"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","08","99","99","    7.01"," ","E"," 5"
"US1SCPC0022","09"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","09","99","99","    4.35"," ","E"," 7"
"US1SCPC0022","10"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","10","99","99","    5.90"," ","E"," 6"
"US1SCPC0022","11"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","11","99","99","    4.32"," ","E"," 7"
"US1SCPC0022","12"," 34.9831"," -82.8052"," 326.1","SUNSET 0.5 NW, SC US","12","99","99","    7.42"," ","E"," 6"
