"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1SDPN0019","01"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","01","99","99","    0.32"," ","R","10","     4.8"," ","S","13","     1.0"," ","S","13","     0.3"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.12"," ","R","10","    0.20"," ","R","10","    0.53"," ","R","10","    0.11"," ","R","10","    0.14"," ","R","10","    0.27"," ","R","10","    0.69"," ","R","10","    0.14"," ","R","10","    0.34"," ","R","10"
"US1SDPN0019","02"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","02","99","99","    0.58"," ","S","13","     6.5"," ","S","13","     1.6"," ","S","13","     0.5"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.24"," ","S","13","    0.37"," ","S","13","    0.60"," ","S","13","    0.20"," ","S","13","    0.36"," ","S","13","    0.46"," ","S","13","    0.73"," ","S","13","    0.33"," ","S","13","    0.50"," ","S","13"
"US1SDPN0019","03"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","03","99","99","    1.17"," ","S","12","     5.6"," ","S","13","     2.2"," ","S","13","     1.1"," ","S","13","     0.6"," ","S","13","     0.1"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.50"," ","S","12","    0.83"," ","S","12","    1.72"," ","S","12","    0.46"," ","S","12","    0.66"," ","S","12","    1.15"," ","S","12","    1.84"," ","S","12","    0.55"," ","S","12","    1.42"," ","S","12"
"US1SDPN0019","04"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","04","99","99","    2.46"," ","S","12","    10.5"," ","S","13","     5.5"," ","S","13","     2.9"," ","S","13","     1.5"," ","S","13","     0.3"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.05"," ","S","12","    2.42"," ","S","12","    3.08"," ","S","12","    1.95"," ","S","12","    2.24"," ","S","12","    2.57"," ","S","12","    3.24"," ","S","12","    2.14"," ","S","12","    2.77"," ","S","12"
"US1SDPN0019","05"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","05","99","99","    3.63"," ","S","13","    13.7"," ","S","13","     7.2"," ","S","13","     4.2"," ","S","13","     2.2"," ","S","13","     0.9"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.08"," ","S","13","    2.89"," ","S","13","    5.80"," ","S","13","    1.99"," ","S","13","    2.36"," ","S","13","    3.76"," ","S","13","    6.13"," ","S","13","    2.27"," ","S","13","    4.89"," ","S","13"
"US1SDPN0019","06"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","06","99","99","    2.94"," ","R","10","    12.8"," ","S","13","     7.6"," ","S","13","     4.7"," ","S","13","     2.1"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.42"," ","R","10","    2.72"," ","R","10","    4.14"," ","R","10","    1.37"," ","R","10","    1.87"," ","R","10","    3.43"," ","R","10","    4.50"," ","R","10","    1.70"," ","R","10","    3.64"," ","R","10"
"US1SDPN0019","07"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","07","99","99","    2.29"," ","R","10","    11.5"," ","S","13","     5.5"," ","S","13","     3.2"," ","S","13","     1.9"," ","S","13","     0.4"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.19"," ","R","10","    2.20"," ","R","10","    2.70"," ","R","10","    0.95"," ","R","10","    1.90"," ","R","10","    2.37"," ","R","10","    2.73"," ","R","10","    1.59"," ","R","10","    2.54"," ","R","10"
"US1SDPN0019","08"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","08","99","99","    2.64"," ","R","11","     9.6"," ","S","14","     4.5"," ","S","14","     3.0"," ","S","14","     1.4"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.41"," ","R","11","    2.52"," ","R","11","    3.98"," ","R","11","    1.23"," ","R","11","    2.06"," ","R","11","    2.72"," ","R","11","    4.02"," ","R","11","    1.74"," ","R","11","    3.18"," ","R","11"
"US1SDPN0019","09"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","09","99","99","    1.56"," ","R","11","     6.5"," ","S","14","     3.4"," ","S","14","     1.6"," ","S","14","     0.7"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.79"," ","R","11","    1.37"," ","R","11","    2.08"," ","R","11","    0.77"," ","R","11","    1.21"," ","R","11","    1.47"," ","R","11","    2.43"," ","R","11","    0.97"," ","R","11","    1.67"," ","R","11"
"US1SDPN0019","10"," 43.7810","-102.6168"," 894.0","WASTA 21.6 SSW, SD US","10","99","99","    1.85"," ","S","14","     7.7"," ","S","14","     3.9"," ","S","14","     1.8"," ","S","14","     1.2"," ","S","14","     0.4"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.65"," ","S","14","    1.00"," ","S","14","    1.90"," ","S","14","    0.63"," ","S","14","    0.87"," ","S","14","    1.59"," ","S","14","    2.04"," ","S","14","    0.76"," ","S","14","    1.81"," ","S","14"
