"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1TXBEL008","01"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","01","99","99","    2.63"," ","R","11","     7.9"," ","P","11","     3.9"," ","P","11","     2.8"," ","P","11","     1.9"," ","P","11","     0.6"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    0.76"," ","R","11","    3.19"," ","R","11","    3.97"," ","R","11","    0.70"," ","R","11","    2.50"," ","R","11","    3.42"," ","R","11","    4.19"," ","R","11","    1.51"," ","R","11","    3.77"," ","R","11"
"US1TXBEL008","02"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","02","99","99","    2.42"," ","R","11","     9.3"," ","P","11","     3.9"," ","P","11","     2.2"," ","P","11","     1.6"," ","P","11","     0.6"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.31"," ","R","11","    2.17"," ","R","11","    3.38"," ","R","11","    1.20"," ","R","11","    2.07"," ","R","11","    2.53"," ","R","11","    3.72"," ","R","11","    1.82"," ","R","11","    2.83"," ","R","11"
"US1TXBEL008","03"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","03","99","99","    4.29"," ","R","11","     8.7"," ","P","11","     5.1"," ","P","11","     3.5"," ","P","11","     2.3"," ","P","11","     1.0"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    2.54"," ","R","11","    4.15"," ","R","11","    4.81"," ","R","11","    1.83"," ","R","11","    3.81"," ","R","11","    4.25"," ","R","11","    5.17"," ","R","11","    3.34"," ","R","11","    4.44"," ","R","11"
"US1TXBEL008","04"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","04","99","99","    3.91"," ","R","10","     8.0"," ","P","10","     4.5"," ","P","10","     3.4"," ","P","10","     2.2"," ","P","10","     1.0"," ","P","10","     0.5"," ","P","10","     0.2"," ","P","10","     0.1"," ","P","10","    1.50"," ","R","10","    2.44"," ","R","10","    5.14"," ","R","10","    1.37"," ","R","10","    2.01"," ","R","10","    3.04"," ","R","10","    5.58"," ","R","10","    1.85"," ","R","10","    3.83"," ","R","10"
"US1TXBEL008","05"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","05","99","99","    4.68"," ","R","11","    10.3"," ","P","11","     6.0"," ","P","11","     4.0"," ","P","11","     3.1"," ","P","11","     1.6"," ","P","11","     0.6"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.58"," ","R","11","    4.34"," ","R","11","    6.64"," ","R","11","    2.31"," ","R","11","    3.39"," ","R","11","    4.99"," ","R","11","    7.71"," ","R","11","    2.84"," ","R","11","    5.55"," ","R","11"
"US1TXBEL008","06"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","06","99","99","    2.81"," ","R","10","     6.9"," ","P","11","     4.4"," ","P","11","     3.1"," ","P","11","     1.9"," ","P","11","     1.0"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.38"," ","R","10","    2.16"," ","R","10","    3.50"," ","R","10","    1.27"," ","R","10","    1.73"," ","R","10","    2.34"," ","R","10","    4.31"," ","R","10","    1.52"," ","R","10","    2.52"," ","R","10"
"US1TXBEL008","07"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","07","99","99","    1.97"," ","R","10","     4.8"," ","S","12","     3.2"," ","S","12","     2.2"," ","S","12","     1.4"," ","S","12","     0.4"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.89"," ","R","10","    1.31"," ","R","10","    2.62"," ","R","10","    0.83"," ","R","10","    1.10"," ","R","10","    1.57"," ","R","10","    3.61"," ","R","10","    1.02"," ","R","10","    1.68"," ","R","10"
"US1TXBEL008","08"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","08","99","99","    1.91"," ","R","11","     4.3"," ","S","12","     2.8"," ","S","12","     1.9"," ","S","12","     0.9"," ","S","12","     0.6"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.44"," ","R","11","    0.74"," ","R","11","    2.75"," ","R","11","    0.32"," ","R","11","    0.71"," ","R","11","    1.23"," ","R","11","    3.93"," ","R","11","    0.65"," ","R","11","    1.43"," ","R","11"
"US1TXBEL008","09"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","09","99","99","    4.08"," ","S","12","     7.3"," ","S","12","     4.6"," ","S","12","     3.6"," ","S","12","     2.3"," ","S","12","     1.5"," ","S","12","     0.5"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","    1.39"," ","S","12","    3.55"," ","S","12","    4.81"," ","S","12","    1.28"," ","S","12","    2.27"," ","S","12","    3.93"," ","S","12","    6.25"," ","S","12","    1.88"," ","S","12","    4.07"," ","S","12"
"US1TXBEL008","10"," 31.1239"," -97.4733"," 210.9","BELTON 3.9 N, TX US","10","99","99","    4.42"," ","S","12","     7.4"," ","S","12","     4.7"," ","S","12","     3.5"," ","S","12","     2.5"," ","S","12","     1.6"," ","S","12","     0.5"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","    1.59"," ","S","12","    2.88"," ","S","12","    5.42"," ","S","12","    1.23"," ","S","12","    2.29"," ","S","12","    3.35"," ","S","12","    7.98"," ","S","12","    2.00"," ","S","12","    3.49"," ","S","12"
