"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXBEL009","01"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","01","99","99","    2.40"," ","E"," 5"
"US1TXBEL009","02"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","02","99","99","    1.90"," ","E"," 6"
"US1TXBEL009","03"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","03","99","99","    3.91"," ","E"," 3"
"US1TXBEL009","04"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","04","99","99","    3.44"," ","E"," 2"
"US1TXBEL009","05"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","05","99","99","    4.85"," ","E"," 5"
"US1TXBEL009","06"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","06","99","99","    2.65"," ","E"," 2"
"US1TXBEL009","07"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","07","99","99","    1.99"," ","E"," 3"
"US1TXBEL009","08"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","08","99","99","    2.35"," ","E"," 3"
"US1TXBEL009","09"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","09","99","99","    3.91"," ","E"," 3"
"US1TXBEL009","10"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","10","99","99","    4.57"," ","E"," 4"
"US1TXBEL009","11"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","11","99","99","    2.23"," ","E"," 8"
"US1TXBEL009","12"," 31.1231"," -97.5284"," 230.4","BELTON 5.4 NW, TX US","12","99","99","    2.18"," ","E"," 6"
