"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXBST049","01"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","01","99","99","    2.84"," ","E"," 9"
"US1TXBST049","02"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","02","99","99","    1.55"," ","E"," 8"
"US1TXBST049","03"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","03","99","99","    3.42"," ","E"," 8"
"US1TXBST049","04"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","04","99","99","    3.36"," ","E"," 8"
"US1TXBST049","05"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","05","99","99","    5.07"," ","E"," 9"
"US1TXBST049","06"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","06","99","99","    2.47"," ","E"," 9"
"US1TXBST049","07"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","07","99","99","    2.30"," ","E"," 8"
"US1TXBST049","08"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","08","99","99","    2.56"," ","E","10"
"US1TXBST049","09"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","09","99","99","    3.35"," ","E","10"
"US1TXBST049","10"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","10","99","99","    4.14"," ","E"," 9"
"US1TXBST049","11"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","11","99","99","    2.35"," ","E"," 9"
"US1TXBST049","12"," 30.2199"," -97.2575"," 154.8","MCDADE 4.6 SSW, TX US","12","99","99","    2.68"," ","E"," 8"
