"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1TXCLN001","01"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","01","99","99","    1.41"," ","S","12","     3.8"," ","S","12","     2.1"," ","S","12","     1.2"," ","S","12","     0.8"," ","S","12","     0.5"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.31"," ","S","12","    0.92"," ","S","12","    2.21"," ","S","12","    0.15"," ","S","12","    0.56"," ","S","12","    2.02"," ","S","12","    2.40"," ","S","12","    0.48"," ","S","12","    2.06"," ","S","12"
"US1TXCLN001","02"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","02","99","99","    1.69"," ","R","11","     4.9"," ","S","12","     2.5"," ","S","12","     1.8"," ","S","12","     0.8"," ","S","12","     0.5"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.90"," ","R","11","    1.85"," ","R","11","    2.38"," ","R","11","    0.73"," ","R","11","    1.15"," ","R","11","    1.99"," ","R","11","    2.64"," ","R","11","    1.04"," ","R","11","    2.08"," ","R","11"
"US1TXCLN001","03"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","03","99","99","    2.22"," ","S","12","     5.4"," ","S","12","     3.2"," ","S","12","     2.3"," ","S","12","     1.2"," ","S","12","     0.5"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.21"," ","S","12","    1.88"," ","S","12","    2.51"," ","S","12","    0.68"," ","S","12","    1.81"," ","S","12","    2.28"," ","S","12","    2.91"," ","S","12","    1.71"," ","S","12","    2.32"," ","S","12"
"US1TXCLN001","04"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","04","99","99","    2.54"," ","S","12","     5.8"," ","S","12","     3.6"," ","S","12","     2.6"," ","S","12","     1.8"," ","S","12","     1.2"," ","S","12","     0.4"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.52"," ","S","12","    1.79"," ","S","12","    2.56"," ","S","12","    1.23"," ","S","12","    1.68"," ","S","12","    1.96"," ","S","12","    3.27"," ","S","12","    1.64"," ","S","12","    2.21"," ","S","12"
"US1TXCLN001","05"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","05","99","99","    4.58"," ","R","11","     9.4"," ","S","12","     5.8"," ","S","12","     4.4"," ","S","12","     2.8"," ","S","12","     1.8"," ","S","12","     0.5"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.17"," ","R","11","    2.81"," ","R","11","    5.86"," ","R","11","    2.14"," ","R","11","    2.45"," ","R","11","    4.44"," ","R","11","    7.37"," ","R","11","    2.23"," ","R","11","    4.62"," ","R","11"
"US1TXCLN001","06"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","06","99","99","    4.23"," ","S","12","     5.5"," ","S","12","     4.4"," ","S","12","     3.0"," ","S","12","     2.1"," ","S","12","     1.2"," ","S","12","     0.3"," ","S","12","     0.1"," ","S","12","     0.1"," ","S","12","    2.75"," ","S","12","    3.84"," ","S","12","    5.10"," ","S","12","    2.48"," ","S","12","    3.51"," ","S","12","    4.33"," ","S","12","    5.31"," ","S","12","    3.06"," ","S","12","    4.86"," ","S","12"
"US1TXCLN001","07"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","07","99","99","    2.22"," ","S","12","     4.2"," ","S","12","     3.2"," ","S","12","     2.1"," ","S","12","     1.5"," ","S","12","     0.6"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    0.68"," ","S","12","    1.61"," ","S","12","    2.59"," ","S","12","    0.56"," ","S","12","    1.47"," ","S","12","    2.08"," ","S","12","    3.10"," ","S","12","    1.22"," ","S","12","    2.14"," ","S","12"
"US1TXCLN001","08"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","08","99","99","    2.04"," ","S","12","     6.2"," ","S","12","     3.8"," ","S","12","     2.4"," ","S","12","     1.4"," ","S","12","     0.4"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    0.90"," ","S","12","    1.54"," ","S","12","    3.20"," ","S","12","    0.84"," ","S","12","    1.29"," ","S","12","    1.83"," ","S","12","    3.37"," ","S","12","    1.10"," ","S","12","    2.29"," ","S","12"
"US1TXCLN001","09"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","09","99","99","    3.60"," ","S","12","     6.1"," ","S","12","     3.7"," ","S","12","     2.7"," ","S","12","     2.2"," ","S","12","     1.1"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.59"," ","S","12","    2.76"," ","S","12","    5.42"," ","S","12","    1.44"," ","S","12","    2.31"," ","S","12","    3.92"," ","S","12","    5.67"," ","S","12","    1.97"," ","S","12","    4.51"," ","S","12"
"US1TXCLN001","10"," 32.4836"," -99.1161"," 445.0","CISCO 10.5 NW, TX US","10","99","99","    3.21"," ","S","12","     5.8"," ","S","12","     4.1"," ","S","12","     3.2"," ","S","12","     2.2"," ","S","12","     1.4"," ","S","12","     0.3"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    1.50"," ","S","12","    2.28"," ","S","12","    3.80"," ","S","12","    1.23"," ","S","12","    1.89"," ","S","12","    2.58"," ","S","12","    4.34"," ","S","12","    1.76"," ","S","12","    3.23"," ","S","12"
