"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXGA0020","01"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","01","99","99","    2.51"," ","E"," 6"
"US1TXGA0020","02"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","02","99","99","    2.52"," ","E"," 5"
"US1TXGA0020","03"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","03","99","99","    4.15"," ","E"," 5"
"US1TXGA0020","04"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","04","99","99","    3.95"," ","E"," 5"
"US1TXGA0020","05"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","05","99","99","    6.33"," ","E"," 6"
"US1TXGA0020","06"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","06","99","99","    3.83"," ","E"," 5"
"US1TXGA0020","07"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","07","99","99","    2.81"," ","E"," 7"
"US1TXGA0020","08"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","08","99","99","    3.37"," ","E"," 5"
"US1TXGA0020","09"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","09","99","99","    3.60"," ","E"," 6"
"US1TXGA0020","10"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","10","99","99","    4.54"," ","E"," 6"
"US1TXGA0020","11"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","11","99","99","    2.95"," ","E"," 5"
"US1TXGA0020","12"," 33.5894"," -96.6911"," 257.6","SHERMAN 5.1 WSW, TX US","12","99","99","    3.12"," ","E"," 4"
