"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXGS0015","01"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","01","99","99","    2.25"," ","E"," 9"
"US1TXGS0015","02"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","02","99","99","    1.18"," ","E","10"
"US1TXGS0015","03"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","03","99","99","    2.64"," ","E","10"
"US1TXGS0015","04"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","04","99","99","    2.31"," ","E","10"
"US1TXGS0015","05"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","05","99","99","    5.41"," ","E","11"
"US1TXGS0015","06"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","06","99","99","    2.17"," ","E"," 8"
"US1TXGS0015","07"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","07","99","99","    1.79"," ","E","10"
"US1TXGS0015","08"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","08","99","99","    2.01"," ","E"," 9"
"US1TXGS0015","09"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","09","99","99","    4.17"," ","E","11"
"US1TXGS0015","10"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","10","99","99","    2.99"," ","E","10"
"US1TXGS0015","11"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","11","99","99","    1.77"," ","E"," 9"
"US1TXGS0015","12"," 30.2375"," -98.6258"," 432.8","STONEWALL 2.3 ENE, TX US","12","99","99","    1.38"," ","E"," 7"
