"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXHDS009","01"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","01","99","99","    0.42"," ","E"," 5"
"US1TXHDS009","02"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","02","99","99","    0.27"," ","E"," 5"
"US1TXHDS009","03"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","03","99","99","    0.38"," ","E"," 5"
"US1TXHDS009","04"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","04","99","99","    0.23"," ","E"," 8"
"US1TXHDS009","05"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","05","99","99","    0.58"," ","E"," 5"
"US1TXHDS009","06"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","06","99","99","    0.85"," ","E"," 6"
"US1TXHDS009","07"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","07","99","99","    2.30"," ","E"," 5"
"US1TXHDS009","08"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","08","99","99","    1.68"," ","E"," 4"
"US1TXHDS009","09"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","09","99","99","    2.23"," ","E"," 5"
"US1TXHDS009","10"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","10","99","99","    1.00"," ","E"," 5"
"US1TXHDS009","11"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","11","99","99","    0.38"," ","E"," 3"
"US1TXHDS009","12"," 31.9231","-105.2180","1138.7","DELL CITY 1.4 SW, TX US","12","99","99","    0.53"," ","E"," 5"
