"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXKR0020","01"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","01","99","99","    1.92"," ","E"," 8"
"US1TXKR0020","02"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","02","99","99","    1.18"," ","E","10"
"US1TXKR0020","03"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","03","99","99","    2.71"," ","E"," 8"
"US1TXKR0020","04"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","04","99","99","    2.39"," ","E"," 7"
"US1TXKR0020","05"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","05","99","99","    5.36"," ","E"," 9"
"US1TXKR0020","06"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","06","99","99","    2.09"," ","E"," 5"
"US1TXKR0020","07"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","07","99","99","    1.81"," ","E","10"
"US1TXKR0020","08"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","08","99","99","    2.24"," ","E"," 9"
"US1TXKR0020","09"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","09","99","99","    3.65"," ","E"," 9"
"US1TXKR0020","10"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","10","99","99","    2.52"," ","E"," 7"
"US1TXKR0020","11"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","11","99","99","    1.49"," ","E","11"
"US1TXKR0020","12"," 30.0261"," -99.1410"," 531.6","KERRVILLE 1.1 SSW, TX US","12","99","99","    1.49"," ","E"," 6"
