"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXLO0009","01"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","01","99","99","    1.88"," ","E"," 8"
"US1TXLO0009","02"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","02","99","99","    1.00"," ","E"," 6"
"US1TXLO0009","03"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","03","99","99","    2.02"," ","E"," 6"
"US1TXLO0009","04"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","04","99","99","    1.89"," ","E"," 7"
"US1TXLO0009","05"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","05","99","99","    4.06"," ","E"," 7"
"US1TXLO0009","06"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","06","99","99","    2.50"," ","E"," 6"
"US1TXLO0009","07"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","07","99","99","    3.14"," ","E"," 7"
"US1TXLO0009","08"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","08","99","99","    1.94"," ","E"," 7"
"US1TXLO0009","09"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","09","99","99","    4.68"," ","E"," 6"
"US1TXLO0009","10"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","10","99","99","    1.90"," ","E"," 6"
"US1TXLO0009","11"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","11","99","99","    1.47"," ","E"," 9"
"US1TXLO0009","12"," 28.3638"," -98.1405","  50.9","GEORGE WEST 2.7 NNW, TX US","12","99","99","    1.68"," ","E"," 7"
