"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"US1TXLV0020","01"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","01","99","99","    2.71"," ","R","11","     9.1"," ","P","11","     4.6"," ","P","11","     2.8"," ","P","11","     1.8"," ","P","11","     0.8"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.02"," ","R","11","    2.50"," ","R","11","    3.60"," ","R","11","    1.86"," ","R","11","    2.26"," ","R","11","    2.92"," ","R","11","    3.71"," ","R","11","    2.22"," ","R","11","    3.49"," ","R","11"
"US1TXLV0020","02"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","02","99","99","    1.64"," ","R","11","     9.8"," ","P","11","     4.0"," ","P","11","     2.3"," ","P","11","     0.9"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.06"," ","R","11","    1.41"," ","R","11","    2.44"," ","R","11","    0.95"," ","R","11","    1.20"," ","R","11","    1.66"," ","R","11","    2.74"," ","R","11","    1.12"," ","R","11","    1.84"," ","R","11"
"US1TXLV0020","03"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","03","99","99","    3.18"," ","R","11","     8.9"," ","P","11","     4.1"," ","P","11","     2.7"," ","P","11","     1.9"," ","P","11","     0.9"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.71"," ","R","11","    2.74"," ","R","11","    3.86"," ","R","11","    1.23"," ","R","11","    2.13"," ","R","11","    3.41"," ","R","11","    4.03"," ","R","11","    2.01"," ","R","11","    3.75"," ","R","11"
"US1TXLV0020","04"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","04","99","99","    3.16"," ","R","11","     8.3"," ","P","11","     3.8"," ","P","11","     2.5"," ","P","11","     1.5"," ","P","11","     0.8"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    1.14"," ","R","11","    1.98"," ","R","11","    4.56"," ","R","11","    0.92"," ","R","11","    1.65"," ","R","11","    3.10"," ","R","11","    4.89"," ","R","11","    1.39"," ","R","11","    3.97"," ","R","11"
"US1TXLV0020","05"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","05","99","99","    4.30"," ","S","12","     7.6"," ","S","12","     4.8"," ","S","12","     3.5"," ","S","12","     2.8"," ","S","12","     1.8"," ","S","12","     0.4"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.35"," ","S","12","    4.51"," ","S","12","    6.05"," ","S","12","    2.21"," ","S","12","    3.22"," ","S","12","    4.99"," ","S","12","    6.78"," ","S","12","    2.58"," ","S","12","    5.28"," ","S","12"
"US1TXLV0020","06"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","06","99","99","    3.40"," ","S","12","     7.2"," ","S","12","     4.2"," ","S","12","     2.9"," ","S","12","     1.9"," ","S","12","     1.3"," ","S","12","     0.5"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.47"," ","S","12","    2.40"," ","S","12","    4.98"," ","S","12","    1.43"," ","S","12","    1.73"," ","S","12","    4.18"," ","S","12","    5.46"," ","S","12","    1.54"," ","S","12","    4.60"," ","S","12"
"US1TXLV0020","07"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","07","99","99","    2.61"," ","S","12","     5.4"," ","S","12","     3.2"," ","S","12","     2.2"," ","S","12","     1.5"," ","S","12","     0.6"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    1.09"," ","S","12","    1.80"," ","S","12","    2.96"," ","S","12","    0.91"," ","S","12","    1.46"," ","S","12","    2.01"," ","S","12","    3.89"," ","S","12","    1.28"," ","S","12","    2.32"," ","S","12"
"US1TXLV0020","08"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","08","99","99","    3.43"," ","R","11","     4.9"," ","S","12","     3.6"," ","S","12","     2.2"," ","S","12","     1.7"," ","S","12","     0.9"," ","S","12","     0.4"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","    0.79"," ","R","11","    1.21"," ","R","11","    3.51"," ","R","11","    0.70"," ","R","11","    1.06"," ","R","11","    1.61"," ","R","11","    4.92"," ","R","11","    0.97"," ","R","11","    1.86"," ","R","11"
"US1TXLV0020","09"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","09","99","99","    4.32"," ","R","11","    10.5"," ","S","12","     6.9"," ","S","12","     3.8"," ","S","12","     2.3"," ","S","12","     1.3"," ","S","12","     0.5"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.95"," ","R","11","    3.87"," ","R","11","    5.84"," ","R","11","    1.70"," ","R","11","    3.30"," ","R","11","    4.56"," ","R","11","    6.67"," ","R","11","    2.43"," ","R","11","    4.93"," ","R","11"
"US1TXLV0020","10"," 29.3695"," -97.0942","  89.0","YOAKUM 6.2 NNE, TX US","10","99","99","    3.60"," ","S","12","     7.0"," ","S","12","     4.2"," ","S","12","     2.6"," ","S","12","     1.7"," ","S","12","     0.9"," ","S","12","     0.5"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","    0.90"," ","S","12","    2.55"," ","S","12","    4.69"," ","S","12","    0.63"," ","S","12","    1.60"," ","S","12","    2.68"," ","S","12","    5.13"," ","S","12","    1.36"," ","S","12","    3.42"," ","S","12"
