"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXMDN027","01"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","01","99","99","    2.07"," ","E"," 5"
"US1TXMDN027","02"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","02","99","99","    1.21"," ","E"," 6"
"US1TXMDN027","03"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","03","99","99","    2.48"," ","E"," 9"
"US1TXMDN027","04"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","04","99","99","    2.24"," ","E"," 6"
"US1TXMDN027","05"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","05","99","99","    4.91"," ","E"," 8"
"US1TXMDN027","06"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","06","99","99","    2.87"," ","E"," 7"
"US1TXMDN027","07"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","07","99","99","    2.42"," ","E"," 7"
"US1TXMDN027","08"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","08","99","99","    3.03"," ","E"," 8"
"US1TXMDN027","09"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","09","99","99","    5.12"," ","E"," 7"
"US1TXMDN027","10"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","10","99","99","    2.78"," ","E"," 8"
"US1TXMDN027","11"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","11","99","99","    2.16"," ","E"," 7"
"US1TXMDN027","12"," 29.5344"," -98.8410"," 348.1","MICO 5.0 E, TX US","12","99","99","    1.67"," ","E"," 6"
