"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXPS0001","01"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","01","99","99","    0.66"," ","E"," 4"
"US1TXPS0001","02"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","02","99","99","    0.22"," ","E"," 6"
"US1TXPS0001","03"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","03","99","99","    0.40"," ","E"," 7"
"US1TXPS0001","04"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","04","99","99","    0.41"," ","E"," 5"
"US1TXPS0001","05"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","05","99","99","    1.06"," ","E"," 6"
"US1TXPS0001","06"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","06","99","99","    1.98"," ","E"," 5"
"US1TXPS0001","07"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","07","99","99","    3.31"," ","E"," 4"
"US1TXPS0001","08"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","08","99","99","    1.88"," ","E"," 3"
"US1TXPS0001","09"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","09","99","99","    1.99"," ","E"," 4"
"US1TXPS0001","10"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","10","99","99","    1.13"," ","E"," 6"
"US1TXPS0001","11"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","11","99","99","    0.54"," ","E"," 4"
"US1TXPS0001","12"," 30.3231","-104.0162","1439.9","MARFA 1.0 NNE, TX US","12","99","99","    0.48"," ","E"," 5"
