"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXTV0096","01"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","01","99","99","    2.92"," ","E"," 9"
"US1TXTV0096","02"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","02","99","99","    1.39"," ","E","10"
"US1TXTV0096","03"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","03","99","99","    3.34"," ","E"," 9"
"US1TXTV0096","04"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","04","99","99","    2.89"," ","E","10"
"US1TXTV0096","05"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","05","99","99","    5.94"," ","E","10"
"US1TXTV0096","06"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","06","99","99","    3.02"," ","E"," 9"
"US1TXTV0096","07"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","07","99","99","    2.74"," ","E"," 9"
"US1TXTV0096","08"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","08","99","99","    2.60"," ","E","12"
"US1TXTV0096","09"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","09","99","99","    4.35"," ","E","12"
"US1TXTV0096","10"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","10","99","99","    4.04"," ","E","12"
"US1TXTV0096","11"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","11","99","99","    1.99"," ","E","10"
"US1TXTV0096","12"," 30.1776"," -97.7899"," 213.7","TANGLEWOOD FOREST 2.9 E, TX US","12","99","99","    2.40"," ","E","10"
