"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1UTGR0002","01"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","01","99","99","    0.52"," ","E"," 5"
"US1UTGR0002","02"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","02","99","99","    0.68"," ","E"," 3"
"US1UTGR0002","03"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","03","99","99","    0.82"," ","E"," 6"
"US1UTGR0002","04"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","04","99","99","    0.83"," ","E"," 5"
"US1UTGR0002","05"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","05","99","99","    0.94"," ","E","10"
"US1UTGR0002","06"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","06","99","99","    0.51"," ","E"," 6"
"US1UTGR0002","07"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","07","99","99","    0.94"," ","E"," 5"
"US1UTGR0002","08"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","08","99","99","    1.08"," ","E"," 6"
"US1UTGR0002","09"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","09","99","99","    0.97"," ","E"," 8"
"US1UTGR0002","10"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","10","99","99","    1.37"," ","E"," 8"
"US1UTGR0002","11"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","11","99","99","    0.62"," ","E"," 7"
"US1UTGR0002","12"," 38.5452","-109.4878","1430.1","MOAB 3.7 ESE, UT US","12","99","99","    1.44"," ","E"," 7"
