"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1VAYR0003","01"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","01","99","99","    3.19"," ","E"," 7"
"US1VAYR0003","02"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","02","99","99","    2.89"," ","E"," 9"
"US1VAYR0003","03"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","03","99","99","    3.22"," ","E"," 8"
"US1VAYR0003","04"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","04","99","99","    3.27"," ","E"," 8"
"US1VAYR0003","05"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","05","99","99","    4.27"," ","E","10"
"US1VAYR0003","06"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","06","99","99","    4.64"," ","E"," 9"
"US1VAYR0003","07"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","07","99","99","    4.76"," ","E","11"
"US1VAYR0003","08"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","08","99","99","    5.56"," ","E"," 8"
"US1VAYR0003","09"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","09","99","99","    6.11"," ","E"," 9"
"US1VAYR0003","10"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","10","99","99","    4.86"," ","E"," 8"
"US1VAYR0003","11"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","11","99","99","    3.50"," ","E"," 6"
"US1VAYR0003","12"," 37.1663"," -76.4401","   7.0","NEWPORT NEWS 7.5 NNE, VA US","12","99","99","    3.78"," ","E"," 6"
