"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WABT0013","01"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","01","99","99","    1.15"," ","E"," 7"
"US1WABT0013","02"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","02","99","99","    0.75"," ","E"," 9"
"US1WABT0013","03"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","03","99","99","    0.77"," ","E"," 7"
"US1WABT0013","04"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","04","99","99","    0.71"," ","E"," 8"
"US1WABT0013","05"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","05","99","99","    0.99"," ","E"," 9"
"US1WABT0013","06"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","06","99","99","    0.85"," ","E"," 7"
"US1WABT0013","07"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","07","99","99","    0.10"," ","E"," 9"
"US1WABT0013","08"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","08","99","99","    0.20"," ","E"," 8"
"US1WABT0013","09"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","09","99","99","    0.31"," ","E"," 6"
"US1WABT0013","10"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","10","99","99","    0.80"," ","E"," 9"
"US1WABT0013","11"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","11","99","99","    0.85"," ","E"," 9"
"US1WABT0013","12"," 46.2870","-119.3050"," 121.9","RICHLAND 0.8 SW, WA US","12","99","99","    1.26"," ","E","10"
