"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WAKP0047","01"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","01","99","99","    6.55"," ","E"," 8"
"US1WAKP0047","02"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","02","99","99","    3.62"," ","E"," 7"
"US1WAKP0047","03"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","03","99","99","    4.33"," ","E"," 6"
"US1WAKP0047","04"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","04","99","99","    2.86"," ","E"," 8"
"US1WAKP0047","05"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","05","99","99","    2.17"," ","E"," 7"
"US1WAKP0047","06"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","06","99","99","    1.45"," ","E"," 8"
"US1WAKP0047","07"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","07","99","99","    0.58"," ","E"," 8"
"US1WAKP0047","08"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","08","99","99","    0.83"," ","E"," 9"
"US1WAKP0047","09"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","09","99","99","    2.19"," ","E"," 9"
"US1WAKP0047","10"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","10","99","99","    3.79"," ","E"," 7"
"US1WAKP0047","11"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","11","99","99","    6.50"," ","E"," 9"
"US1WAKP0047","12"," 47.7856","-122.6730"," 100.0","POULSBO 3.7 NNW, WA US","12","99","99","    7.04"," ","E"," 7"
