"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WVPN0001","01"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","01","99","99","    2.06"," ","E"," 4"
"US1WVPN0001","02"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","02","99","99","    2.51"," ","E"," 4"
"US1WVPN0001","03"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","03","99","99","    2.96"," ","E"," 4"
"US1WVPN0001","04"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","04","99","99","    4.15"," ","E"," 4"
"US1WVPN0001","05"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","05","99","99","    5.13"," ","E"," 4"
"US1WVPN0001","06"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","06","99","99","    4.31"," ","E"," 4"
"US1WVPN0001","07"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","07","99","99","    4.60"," ","E"," 5"
"US1WVPN0001","08"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","08","99","99","    3.97"," ","E"," 5"
"US1WVPN0001","09"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","09","99","99","    3.63"," ","E"," 5"
"US1WVPN0001","10"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","10","99","99","    3.46"," ","E"," 6"
"US1WVPN0001","11"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","11","99","99","    2.40"," ","E"," 5"
"US1WVPN0001","12"," 38.7182"," -79.1428"," 544.4","FORT SEYBERT 3.0 NE, WV US","12","99","99","    3.15"," ","E"," 6"
