"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WYCR0005","01"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","01","99","99","    0.73"," ","E"," 8"
"US1WYCR0005","02"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","02","99","99","    1.08"," ","E","13"
"US1WYCR0005","03"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","03","99","99","    1.38"," ","E","13"
"US1WYCR0005","04"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","04","99","99","    1.91"," ","E","10"
"US1WYCR0005","05"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","05","99","99","    2.61"," ","E","13"
"US1WYCR0005","06"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","06","99","99","    1.41"," ","E","14"
"US1WYCR0005","07"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","07","99","99","    1.52"," ","E","12"
"US1WYCR0005","08"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","08","99","99","    1.11"," ","E","12"
"US1WYCR0005","09"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","09","99","99","    1.50"," ","E","14"
"US1WYCR0005","10"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","10","99","99","    1.68"," ","E","15"
"US1WYCR0005","11"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","11","99","99","    0.99"," ","E","13"
"US1WYCR0005","12"," 41.6597","-106.1332","2194.9","ROCK RIVER 9.6 WSW, WY US","12","99","99","    1.25"," ","E"," 9"
