"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USC00111700","01"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","01","99","99","    2.94"," ","S","15","     9.1"," ","S","15","     5.7"," ","S","15","     3.7"," ","S","15","     1.9"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.66"," ","S","15","    2.22"," ","S","15","    3.82"," ","S","15","    1.43"," ","S","15","    2.00"," ","S","15","    2.84"," ","S","15","    4.13"," ","S","15","    1.94"," ","S","15","    3.29"," ","S","15"
"USC00111700","02"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","02","99","99","    2.63"," ","S","15","     9.2"," ","S","15","     5.0"," ","S","15","     3.7"," ","S","15","     1.7"," ","S","15","     0.7"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.47"," ","S","15","    2.57"," ","S","15","    3.47"," ","S","15","    1.41"," ","S","15","    1.98"," ","S","15","    2.93"," ","S","15","    3.73"," ","S","15","    1.63"," ","S","15","    3.07"," ","S","15"
"USC00111700","03"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","03","99","99","    4.77"," ","S","14","    10.3"," ","S","15","     7.4"," ","S","15","     5.4"," ","S","15","     3.1"," ","S","15","     1.2"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    2.85"," ","S","14","    3.80"," ","S","14","    6.01"," ","S","14","    2.68"," ","S","14","    3.66"," ","S","14","    4.40"," ","S","14","    6.76"," ","S","14","    3.38"," ","S","14","    4.94"," ","S","14"
"USC00111700","04"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","04","99","99","    5.42"," ","S","13","    10.1"," ","S","15","     8.2"," ","S","15","     6.2"," ","S","15","     4.1"," ","S","15","     1.8"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.65"," ","S","13","    5.21"," ","S","13","    6.00"," ","S","13","    3.29"," ","S","13","    4.54"," ","S","13","    5.34"," ","S","13","    6.73"," ","S","13","    4.23"," ","S","13","    5.57"," ","S","13"
"USC00111700","05"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","05","99","99","    5.20"," ","S","13","    12.3"," ","S","14","     9.2"," ","S","14","     6.0"," ","S","14","     3.3"," ","S","14","     1.4"," ","S","14","     0.3"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    3.08"," ","S","13","    5.56"," ","S","13","    6.80"," ","S","13","    2.89"," ","S","13","    4.71"," ","S","13","    5.80"," ","S","13","    7.25"," ","S","13","    3.66"," ","S","13","    6.13"," ","S","13"
"USC00111700","06"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","06","99","99","    5.31"," ","S","15","    10.1"," ","S","15","     8.3"," ","S","15","     5.9"," ","S","15","     3.8"," ","S","15","     1.9"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    3.35"," ","S","15","    5.10"," ","S","15","    7.38"," ","S","15","    2.06"," ","S","15","    4.80"," ","S","15","    5.41"," ","S","15","    8.54"," ","S","15","    4.63"," ","S","15","    5.78"," ","S","15"
"USC00111700","07"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","07","99","99","    5.06"," ","S","15","     8.3"," ","S","15","     6.5"," ","S","15","     5.0"," ","S","15","     3.3"," ","S","15","     1.8"," ","S","15","     0.6"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.94"," ","S","15","    4.65"," ","S","15","    6.31"," ","S","15","    2.34"," ","S","15","    4.31"," ","S","15","    5.57"," ","S","15","    6.45"," ","S","15","    3.95"," ","S","15","    6.11"," ","S","15"
"USC00111700","08"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","08","99","99","    3.27"," ","S","15","     7.0"," ","S","15","     4.6"," ","S","15","     3.0"," ","S","15","     1.8"," ","S","15","     1.0"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    0.85"," ","S","15","    2.97"," ","S","15","    4.41"," ","S","15","    0.55"," ","S","15","    1.73"," ","S","15","    3.12"," ","S","15","    5.73"," ","S","15","    1.42"," ","S","15","    3.31"," ","S","15"
"USC00111700","09"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","09","99","99","    4.17"," ","S","15","     6.1"," ","S","15","     4.9"," ","S","15","     3.6"," ","S","15","     2.5"," ","S","15","     1.3"," ","S","15","     0.4"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","    1.42"," ","S","15","    3.72"," ","S","15","    3.93"," ","S","15","    1.38"," ","S","15","    2.99"," ","S","15","    3.84"," ","S","15","    4.00"," ","S","15","    2.05"," ","S","15","    3.91"," ","S","15"
"USC00111700","10"," 38.6058"," -88.3117"," 140.2","CLAY CITY 6SSE, IL US","10","99","99","    4.01"," ","S","14","     8.4"," ","S","14","     5.6"," ","S","14","     3.9"," ","S","14","     2.6"," ","S","14","     1.0"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    2.59"," ","S","14","    3.91"," ","S","14","    5.51"," ","S","14","    2.10"," ","S","14","    3.28"," ","S","14","    4.26"," ","S","14","    6.24"," ","S","14","    3.10"," ","S","14","    4.69"," ","S","14"
