"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-TAVG-NORMAL","meas_flag_MLY-TAVG-NORMAL","comp_flag_MLY-TAVG-NORMAL","years_MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","meas_flag_MLY-TMAX-NORMAL","comp_flag_MLY-TMAX-NORMAL","years_MLY-TMAX-NORMAL","MLY-TMIN-NORMAL","meas_flag_MLY-TMIN-NORMAL","comp_flag_MLY-TMIN-NORMAL","years_MLY-TMIN-NORMAL","MLY-DUTR-NORMAL","meas_flag_MLY-DUTR-NORMAL","comp_flag_MLY-DUTR-NORMAL","years_MLY-DUTR-NORMAL","MLY-TMIN-AVGNDS-LSTH000","meas_flag_MLY-TMIN-AVGNDS-LSTH000","comp_flag_MLY-TMIN-AVGNDS-LSTH000","years_MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","meas_flag_MLY-TMIN-AVGNDS-LSTH010","comp_flag_MLY-TMIN-AVGNDS-LSTH010","years_MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","meas_flag_MLY-TMIN-AVGNDS-LSTH020","comp_flag_MLY-TMIN-AVGNDS-LSTH020","years_MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","meas_flag_MLY-TMIN-AVGNDS-LSTH032","comp_flag_MLY-TMIN-AVGNDS-LSTH032","years_MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","meas_flag_MLY-TMIN-AVGNDS-LSTH040","comp_flag_MLY-TMIN-AVGNDS-LSTH040","years_MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","meas_flag_MLY-TMIN-AVGNDS-LSTH050","comp_flag_MLY-TMIN-AVGNDS-LSTH050","years_MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","meas_flag_MLY-TMIN-AVGNDS-LSTH060","comp_flag_MLY-TMIN-AVGNDS-LSTH060","years_MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","meas_flag_MLY-TMIN-AVGNDS-LSTH070","comp_flag_MLY-TMIN-AVGNDS-LSTH070","years_MLY-TMIN-AVGNDS-LSTH070","MLY-TMAX-AVGNDS-GRTH032","meas_flag_MLY-TMAX-AVGNDS-GRTH032","comp_flag_MLY-TMAX-AVGNDS-GRTH032","years_MLY-TMAX-AVGNDS-GRTH032","MLY-TMAX-AVGNDS-GRTH040","meas_flag_MLY-TMAX-AVGNDS-GRTH040","comp_flag_MLY-TMAX-AVGNDS-GRTH040","years_MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","meas_flag_MLY-TMAX-AVGNDS-GRTH050","comp_flag_MLY-TMAX-AVGNDS-GRTH050","years_MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","meas_flag_MLY-TMAX-AVGNDS-GRTH060","comp_flag_MLY-TMAX-AVGNDS-GRTH060","years_MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","meas_flag_MLY-TMAX-AVGNDS-GRTH070","comp_flag_MLY-TMAX-AVGNDS-GRTH070","years_MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","meas_flag_MLY-TMAX-AVGNDS-GRTH080","comp_flag_MLY-TMAX-AVGNDS-GRTH080","years_MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","meas_flag_MLY-TMAX-AVGNDS-GRTH090","comp_flag_MLY-TMAX-AVGNDS-GRTH090","years_MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","meas_flag_MLY-TMAX-AVGNDS-GRTH100","comp_flag_MLY-TMAX-AVGNDS-GRTH100","years_MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","meas_flag_MLY-TMAX-AVGNDS-LSTH032","comp_flag_MLY-TMAX-AVGNDS-LSTH032","years_MLY-TMAX-AVGNDS-LSTH032","MLY-HTDD-NORMAL","meas_flag_MLY-HTDD-NORMAL","comp_flag_MLY-HTDD-NORMAL","years_MLY-HTDD-NORMAL","MLY-HTDD-BASE40","meas_flag_MLY-HTDD-BASE40","comp_flag_MLY-HTDD-BASE40","years_MLY-HTDD-BASE40","MLY-HTDD-BASE45","meas_flag_MLY-HTDD-BASE45","comp_flag_MLY-HTDD-BASE45","years_MLY-HTDD-BASE45","MLY-HTDD-BASE50","meas_flag_MLY-HTDD-BASE50","comp_flag_MLY-HTDD-BASE50","years_MLY-HTDD-BASE50","MLY-HTDD-BASE55","meas_flag_MLY-HTDD-BASE55","comp_flag_MLY-HTDD-BASE55","years_MLY-HTDD-BASE55","MLY-HTDD-BASE57","meas_flag_MLY-HTDD-BASE57","comp_flag_MLY-HTDD-BASE57","years_MLY-HTDD-BASE57","MLY-HTDD-BASE60","meas_flag_MLY-HTDD-BASE60","comp_flag_MLY-HTDD-BASE60","years_MLY-HTDD-BASE60","MLY-CLDD-NORMAL","meas_flag_MLY-CLDD-NORMAL","comp_flag_MLY-CLDD-NORMAL","years_MLY-CLDD-NORMAL","MLY-CLDD-BASE40","meas_flag_MLY-CLDD-BASE40","comp_flag_MLY-CLDD-BASE40","years_MLY-CLDD-BASE40","MLY-CLDD-BASE45","meas_flag_MLY-CLDD-BASE45","comp_flag_MLY-CLDD-BASE45","years_MLY-CLDD-BASE45","MLY-CLDD-BASE50","meas_flag_MLY-CLDD-BASE50","comp_flag_MLY-CLDD-BASE50","years_MLY-CLDD-BASE50","MLY-CLDD-BASE55","meas_flag_MLY-CLDD-BASE55","comp_flag_MLY-CLDD-BASE55","years_MLY-CLDD-BASE55","MLY-CLDD-BASE57","meas_flag_MLY-CLDD-BASE57","comp_flag_MLY-CLDD-BASE57","years_MLY-CLDD-BASE57","MLY-CLDD-BASE60","meas_flag_MLY-CLDD-BASE60","comp_flag_MLY-CLDD-BASE60","years_MLY-CLDD-BASE60","MLY-CLDD-BASE70","meas_flag_MLY-CLDD-BASE70","comp_flag_MLY-CLDD-BASE70","years_MLY-CLDD-BASE70","MLY-CLDD-BASE72","meas_flag_MLY-CLDD-BASE72","comp_flag_MLY-CLDD-BASE72","years_MLY-CLDD-BASE72","MLY-GRDD-BASE65","meas_flag_MLY-GRDD-BASE65","comp_flag_MLY-GRDD-BASE65","years_MLY-GRDD-BASE65","MLY-GRDD-BASE40","meas_flag_MLY-GRDD-BASE40","comp_flag_MLY-GRDD-BASE40","years_MLY-GRDD-BASE40","MLY-GRDD-BASE45","meas_flag_MLY-GRDD-BASE45","comp_flag_MLY-GRDD-BASE45","years_MLY-GRDD-BASE45","MLY-GRDD-BASE50","meas_flag_MLY-GRDD-BASE50","comp_flag_MLY-GRDD-BASE50","years_MLY-GRDD-BASE50","MLY-GRDD-BASE55","meas_flag_MLY-GRDD-BASE55","comp_flag_MLY-GRDD-BASE55","years_MLY-GRDD-BASE55","MLY-GRDD-BASE57","meas_flag_MLY-GRDD-BASE57","comp_flag_MLY-GRDD-BASE57","years_MLY-GRDD-BASE57","MLY-GRDD-BASE60","meas_flag_MLY-GRDD-BASE60","comp_flag_MLY-GRDD-BASE60","years_MLY-GRDD-BASE60","MLY-GRDD-BASE70","meas_flag_MLY-GRDD-BASE70","comp_flag_MLY-GRDD-BASE70","years_MLY-GRDD-BASE70","MLY-GRDD-BASE72","meas_flag_MLY-GRDD-BASE72","comp_flag_MLY-GRDD-BASE72","years_MLY-GRDD-BASE72","MLY-GRDD-TB4886","meas_flag_MLY-GRDD-TB4886","comp_flag_MLY-GRDD-TB4886","years_MLY-GRDD-TB4886","MLY-GRDD-TB5086","meas_flag_MLY-GRDD-TB5086","comp_flag_MLY-GRDD-TB5086","years_MLY-GRDD-TB5086"
"USC00145530","01"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","01","99","99","    30.2"," ","E"," 4","    41.7"," ","E"," 4","    18.6"," ","E"," 4","    23.1"," ","E"," 4","     2.5"," ","E"," 4","     8.3"," ","E"," 4","    18.3"," ","E"," 4","    28.1"," ","E"," 4","    30.2"," ","E"," 4","    30.8"," ","E"," 4","    31.0"," ","E"," 4","    31.0"," ","E"," 4","    23.5"," ","E"," 4","    16.6"," ","E"," 4","     8.9"," ","E"," 4","     3.3"," ","E"," 4","     0.3"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     8.5"," ","E"," 4","  1080.0"," ","E"," 4","   338.2"," ","E"," 4","   471.9"," ","E"," 4","   618.4"," ","E"," 4","   770.2"," ","E"," 4","   832.1"," ","E"," 4","   925.1"," ","E"," 4","     0.0"," ","E"," 4","    33.3"," ","E"," 4","    12.0"," ","E"," 4","     3.7"," ","E"," 4","     0.3"," ","E"," 4","     0.0","X","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","    33.3"," ","E"," 4","    12.0"," ","E"," 4","     3.7"," ","E"," 4","     0.3"," ","E"," 4","     0.0","X","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","    43.4"," ","E"," 4","    33.9"," ","E"," 4"
"USC00145530","02"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","02","99","99","    33.1"," ","E"," 4","    45.3"," ","E"," 4","    20.9"," ","E"," 4","    24.4"," ","E"," 4","     1.5"," ","E"," 4","     6.0"," ","E"," 4","    14.0"," ","E"," 4","    23.9"," ","E"," 4","    26.9"," ","E"," 4","    28.0"," ","E"," 4","    28.0"," ","E"," 4","    28.0"," ","E"," 4","    22.3"," ","E"," 4","    17.2"," ","E"," 4","    10.9"," ","E"," 4","     4.6"," ","E"," 4","     1.8"," ","E"," 4","     0.2"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     6.0"," ","E"," 4","   892.7"," ","E"," 4","   244.7"," ","E"," 4","   357.1"," ","E"," 4","   481.2"," ","E"," 4","   614.4"," ","E"," 4","   669.8"," ","E"," 4","   753.2"," ","E"," 4","     0.1"," ","E"," 4","    52.4"," ","E"," 4","    24.8"," ","E"," 4","     9.2"," ","E"," 4","     2.2"," ","E"," 4","     1.3"," ","E"," 4","     0.6"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.1"," ","E"," 4","    52.4"," ","E"," 4","    24.8"," ","E"," 4","     9.2"," ","E"," 4","     2.2"," ","E"," 4","     1.3"," ","E"," 4","     0.6"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","    59.0"," ","E"," 4","    47.8"," ","E"," 4"
"USC00145530","03"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","03","99","99","    45.4"," ","E"," 5","    58.2"," ","E"," 5","    32.6"," ","E"," 5","    25.6"," ","E"," 5","     0.5"," ","E"," 5","     1.1"," ","E"," 5","     3.9"," ","E"," 5","    16.7"," ","E"," 5","    25.4"," ","E"," 5","    29.8"," ","E"," 5","    31.0"," ","E"," 5","    31.0"," ","E"," 5","    30.0"," ","E"," 5","    28.2"," ","E"," 5","    22.0"," ","E"," 5","    15.3"," ","E"," 5","     5.6"," ","E"," 5","     0.4"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     1.0"," ","E"," 5","   610.5"," ","E"," 5","    67.7"," ","E"," 5","   129.5"," ","E"," 5","   216.7"," ","E"," 5","   330.0"," ","E"," 5","   381.7"," ","E"," 5","   463.8"," ","E"," 5","     2.5"," ","E"," 5","   234.5"," ","E"," 5","   141.4"," ","E"," 5","    73.2"," ","E"," 5","    31.9"," ","E"," 5","    21.8"," ","E"," 5","    11.0"," ","E"," 5","     0.2"," ","E"," 5","     0.0"," ","E"," 5","     2.5"," ","E"," 5","   234.5"," ","E"," 5","   141.4"," ","E"," 5","    73.2"," ","E"," 5","    31.9"," ","E"," 5","    21.8"," ","E"," 5","    11.0"," ","E"," 5","     0.2"," ","E"," 5","     0.0"," ","E"," 5","   192.8"," ","E"," 5","   168.2"," ","E"," 5"
"USC00145530","04"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","04","99","99","    54.0"," ","E"," 8","    66.5"," ","E"," 8","    41.5"," ","E"," 8","    25.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     7.2"," ","E"," 8","    14.7"," ","E"," 8","    23.6"," ","E"," 8","    29.4"," ","E"," 8","    30.0"," ","E"," 8","    30.0"," ","E"," 8","    29.7"," ","E"," 8","    26.3"," ","E"," 8","    22.0"," ","E"," 8","    12.8"," ","E"," 8","     2.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   340.5"," ","E"," 8","     9.1"," ","E"," 8","    28.3"," ","E"," 8","    64.7"," ","E"," 8","   125.3"," ","E"," 8","   159.0"," ","E"," 8","   219.0"," ","E"," 8","    10.7"," ","E"," 8","   429.3"," ","E"," 8","   298.6"," ","E"," 8","   184.9"," ","E"," 8","    95.6"," ","E"," 8","    69.2"," ","E"," 8","    39.2"," ","E"," 8","     1.1"," ","E"," 8","     0.2"," ","E"," 8","    10.7"," ","E"," 8","   429.3"," ","E"," 8","   298.6"," ","E"," 8","   184.9"," ","E"," 8","    95.6"," ","E"," 8","    69.2"," ","E"," 8","    39.2"," ","E"," 8","     1.1"," ","E"," 8","     0.2"," ","E"," 8","   304.4"," ","E"," 8","   269.5"," ","E"," 8"
"USC00145530","05"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","05","99","99","    64.7"," ","E"," 7","    75.2"," ","E"," 7","    54.2"," ","E"," 7","    21.0"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.1"," ","E"," 7","     2.8"," ","E"," 7","    12.7"," ","E"," 7","    25.3"," ","E"," 7","    31.0"," ","E"," 7","    31.0"," ","E"," 7","    31.0"," ","E"," 7","    30.6"," ","E"," 7","    29.5"," ","E"," 7","    23.4"," ","E"," 7","    11.5"," ","E"," 7","     0.6"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","   108.0"," ","E"," 7","     0.2"," ","E"," 7","     1.0"," ","E"," 7","     6.1"," ","E"," 7","    19.1"," ","E"," 7","    28.7"," ","E"," 7","    49.1"," ","E"," 7","    98.6"," ","E"," 7","   765.9"," ","E"," 7","   611.6"," ","E"," 7","   461.8"," ","E"," 7","   319.8"," ","E"," 7","   267.5"," ","E"," 7","   194.8"," ","E"," 7","    35.8"," ","E"," 7","    19.0"," ","E"," 7","    98.6"," ","E"," 7","   765.9"," ","E"," 7","   611.6"," ","E"," 7","   461.8"," ","E"," 7","   319.8"," ","E"," 7","   267.5"," ","E"," 7","   194.8"," ","E"," 7","    35.8"," ","E"," 7","    19.0"," ","E"," 7","   536.1"," ","E"," 7","   483.1"," ","E"," 7"
"USC00145530","06"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","06","99","99","    75.1"," ","E"," 4","    86.1"," ","E"," 5","    64.1"," ","E"," 4","    22.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.5"," ","E"," 4","     8.9"," ","E"," 4","    24.7"," ","E"," 4","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    29.1"," ","E"," 5","    25.4"," ","E"," 5","     7.8"," ","E"," 5","     0.2"," ","E"," 5","     0.0"," ","E"," 5","     1.9"," ","E"," 4","     0.0"," ","E"," 4","     0.0"," ","E"," 4","     0.0","X","E"," 4","     0.0","X","E"," 4","     0.0","X","E"," 4","     0.2"," ","E"," 4","   304.5"," ","E"," 4","  1052.5"," ","E"," 4","   902.4"," ","E"," 4","   752.5"," ","E"," 4","   602.5"," ","E"," 4","   542.5"," ","E"," 4","   452.7"," ","E"," 4","   168.6"," ","E"," 4","   122.3"," ","E"," 4","   304.5"," ","E"," 4","  1052.5"," ","E"," 4","   902.4"," ","E"," 4","   752.5"," ","E"," 4","   602.5"," ","E"," 4","   542.5"," ","E"," 4","   452.7"," ","E"," 4","   168.6"," ","E"," 4","   122.3"," ","E"," 4","   776.2"," ","E"," 4","   716.2"," ","E"," 4"
"USC00145530","07"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","07","99","99","    78.3"," ","E"," 6","    89.7"," ","E"," 6","    66.9"," ","E"," 6","    22.8"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.1"," ","E"," 6","     6.2"," ","E"," 6","    21.2"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    29.2"," ","E"," 6","    15.3"," ","E"," 6","     1.4"," ","E"," 6","     0.0"," ","E"," 6","     0.2"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","   412.3"," ","E"," 6","  1187.0"," ","E"," 6","  1031.9"," ","E"," 6","   877.0"," ","E"," 6","   722.0"," ","E"," 6","   660.0"," ","E"," 6","   567.0"," ","E"," 6","   261.4"," ","E"," 6","   203.8"," ","E"," 6","   412.3"," ","E"," 6","  1187.0"," ","E"," 6","  1031.9"," ","E"," 6","   877.0"," ","E"," 6","   722.0"," ","E"," 6","   660.0"," ","E"," 6","   567.0"," ","E"," 6","   261.4"," ","E"," 6","   203.8"," ","E"," 6","   869.9"," ","E"," 6","   807.9"," ","E"," 6"
"USC00145530","08"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","08","99","99","    76.5"," ","E"," 5","    88.1"," ","E"," 5","    64.8"," ","E"," 5","    23.3"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.5"," ","E"," 5","     9.6"," ","E"," 5","    27.3"," ","E"," 5","    31.0"," ","E"," 5","    31.0"," ","E"," 5","    31.0"," ","E"," 5","    31.0"," ","E"," 5","    30.6"," ","E"," 5","    25.8"," ","E"," 5","    11.3"," ","E"," 5","     0.7"," ","E"," 5","     0.0"," ","E"," 5","     1.8"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0","X","E"," 5","     0.1"," ","E"," 5","     0.4"," ","E"," 5","   356.5"," ","E"," 5","  1129.6"," ","E"," 5","   974.6"," ","E"," 5","   819.6"," ","E"," 5","   664.6"," ","E"," 5","   602.7"," ","E"," 5","   510.0"," ","E"," 5","   211.9"," ","E"," 5","   161.2"," ","E"," 5","   356.5"," ","E"," 5","  1129.6"," ","E"," 5","   974.6"," ","E"," 5","   819.6"," ","E"," 5","   664.6"," ","E"," 5","   602.7"," ","E"," 5","   510.0"," ","E"," 5","   211.9"," ","E"," 5","   161.2"," ","E"," 5","   821.6"," ","E"," 5","   759.8"," ","E"," 5"
"USC00145530","09"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","09","99","99","    69.4"," ","E"," 6","    81.1"," ","E"," 6","    57.6"," ","E"," 6","    23.5"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.6"," ","E"," 6","     7.1"," ","E"," 6","    19.3"," ","E"," 6","    28.3"," ","E"," 6","    30.0"," ","E"," 6","    30.0"," ","E"," 6","    30.0"," ","E"," 6","    29.5"," ","E"," 6","    27.4"," ","E"," 6","    16.7"," ","E"," 6","     5.1"," ","E"," 6","     0.3"," ","E"," 6","     0.0"," ","E"," 6","    46.2"," ","E"," 6","     0.0"," ","E"," 6","     0.0","X","E"," 6","     0.3"," ","E"," 6","     2.2"," ","E"," 6","     4.6"," ","E"," 6","    14.2"," ","E"," 6","   176.4"," ","E"," 6","   880.1"," ","E"," 6","   730.0"," ","E"," 6","   580.4"," ","E"," 6","   432.3"," ","E"," 6","   374.7"," ","E"," 6","   294.4"," ","E"," 6","    87.1"," ","E"," 6","    61.7"," ","E"," 6","   176.4"," ","E"," 6","   880.1"," ","E"," 6","   730.0"," ","E"," 6","   580.4"," ","E"," 6","   432.3"," ","E"," 6","   374.7"," ","E"," 6","   294.4"," ","E"," 6","    87.1"," ","E"," 6","    61.7"," ","E"," 6","   627.2"," ","E"," 6","   572.7"," ","E"," 6"
"USC00145530","10"," 38.1347"," -94.8156"," 278.0","MOUND CITY 1SSW, KS US","10","99","99","    56.7"," ","E"," 5","    69.2"," ","E"," 5","    44.2"," ","E"," 5","    25.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     3.4"," ","E"," 5","    12.8"," ","E"," 5","    23.3"," ","E"," 5","    29.6"," ","E"," 5","    30.9"," ","E"," 5","    30.9"," ","E"," 5","    30.7"," ","E"," 5","    29.3"," ","E"," 5","    24.9"," ","E"," 5","    16.3"," ","E"," 5","     5.4"," ","E"," 5","     0.1"," ","E"," 5","     0.0"," ","E"," 5","     0.2"," ","E"," 5","   284.6"," ","E"," 5","     3.5"," ","E"," 5","    12.5"," ","E"," 5","    40.3"," ","E"," 5","    92.5"," ","E"," 5","   121.6"," ","E"," 5","   175.6"," ","E"," 5","    27.4"," ","E"," 5","   521.4"," ","E"," 5","   375.4"," ","E"," 5","   248.1"," ","E"," 5","   145.3"," ","E"," 5","   112.6"," ","E"," 5","    73.4"," ","E"," 5","     5.8"," ","E"," 5","     2.5"," ","E"," 5","    27.4"," ","E"," 5","   521.4"," ","E"," 5","   375.4"," ","E"," 5","   248.1"," ","E"," 5","   145.3"," ","E"," 5","   112.6"," ","E"," 5","    73.4"," ","E"," 5","     5.8"," ","E"," 5","     2.5"," ","E"," 5","   367.7"," ","E"," 5","   327.9"," ","E"," 5"
