"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-TAVG-NORMAL","meas_flag_MLY-TAVG-NORMAL","comp_flag_MLY-TAVG-NORMAL","years_MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","meas_flag_MLY-TMAX-NORMAL","comp_flag_MLY-TMAX-NORMAL","years_MLY-TMAX-NORMAL","MLY-TMIN-NORMAL","meas_flag_MLY-TMIN-NORMAL","comp_flag_MLY-TMIN-NORMAL","years_MLY-TMIN-NORMAL","MLY-DUTR-NORMAL","meas_flag_MLY-DUTR-NORMAL","comp_flag_MLY-DUTR-NORMAL","years_MLY-DUTR-NORMAL","MLY-TMIN-AVGNDS-LSTH000","meas_flag_MLY-TMIN-AVGNDS-LSTH000","comp_flag_MLY-TMIN-AVGNDS-LSTH000","years_MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","meas_flag_MLY-TMIN-AVGNDS-LSTH010","comp_flag_MLY-TMIN-AVGNDS-LSTH010","years_MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","meas_flag_MLY-TMIN-AVGNDS-LSTH020","comp_flag_MLY-TMIN-AVGNDS-LSTH020","years_MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","meas_flag_MLY-TMIN-AVGNDS-LSTH032","comp_flag_MLY-TMIN-AVGNDS-LSTH032","years_MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","meas_flag_MLY-TMIN-AVGNDS-LSTH040","comp_flag_MLY-TMIN-AVGNDS-LSTH040","years_MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","meas_flag_MLY-TMIN-AVGNDS-LSTH050","comp_flag_MLY-TMIN-AVGNDS-LSTH050","years_MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","meas_flag_MLY-TMIN-AVGNDS-LSTH060","comp_flag_MLY-TMIN-AVGNDS-LSTH060","years_MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","meas_flag_MLY-TMIN-AVGNDS-LSTH070","comp_flag_MLY-TMIN-AVGNDS-LSTH070","years_MLY-TMIN-AVGNDS-LSTH070","MLY-TMAX-AVGNDS-GRTH032","meas_flag_MLY-TMAX-AVGNDS-GRTH032","comp_flag_MLY-TMAX-AVGNDS-GRTH032","years_MLY-TMAX-AVGNDS-GRTH032","MLY-TMAX-AVGNDS-GRTH040","meas_flag_MLY-TMAX-AVGNDS-GRTH040","comp_flag_MLY-TMAX-AVGNDS-GRTH040","years_MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","meas_flag_MLY-TMAX-AVGNDS-GRTH050","comp_flag_MLY-TMAX-AVGNDS-GRTH050","years_MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","meas_flag_MLY-TMAX-AVGNDS-GRTH060","comp_flag_MLY-TMAX-AVGNDS-GRTH060","years_MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","meas_flag_MLY-TMAX-AVGNDS-GRTH070","comp_flag_MLY-TMAX-AVGNDS-GRTH070","years_MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","meas_flag_MLY-TMAX-AVGNDS-GRTH080","comp_flag_MLY-TMAX-AVGNDS-GRTH080","years_MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","meas_flag_MLY-TMAX-AVGNDS-GRTH090","comp_flag_MLY-TMAX-AVGNDS-GRTH090","years_MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","meas_flag_MLY-TMAX-AVGNDS-GRTH100","comp_flag_MLY-TMAX-AVGNDS-GRTH100","years_MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","meas_flag_MLY-TMAX-AVGNDS-LSTH032","comp_flag_MLY-TMAX-AVGNDS-LSTH032","years_MLY-TMAX-AVGNDS-LSTH032","MLY-HTDD-NORMAL","meas_flag_MLY-HTDD-NORMAL","comp_flag_MLY-HTDD-NORMAL","years_MLY-HTDD-NORMAL","MLY-HTDD-BASE40","meas_flag_MLY-HTDD-BASE40","comp_flag_MLY-HTDD-BASE40","years_MLY-HTDD-BASE40","MLY-HTDD-BASE45","meas_flag_MLY-HTDD-BASE45","comp_flag_MLY-HTDD-BASE45","years_MLY-HTDD-BASE45","MLY-HTDD-BASE50","meas_flag_MLY-HTDD-BASE50","comp_flag_MLY-HTDD-BASE50","years_MLY-HTDD-BASE50","MLY-HTDD-BASE55","meas_flag_MLY-HTDD-BASE55","comp_flag_MLY-HTDD-BASE55","years_MLY-HTDD-BASE55","MLY-HTDD-BASE57","meas_flag_MLY-HTDD-BASE57","comp_flag_MLY-HTDD-BASE57","years_MLY-HTDD-BASE57","MLY-HTDD-BASE60","meas_flag_MLY-HTDD-BASE60","comp_flag_MLY-HTDD-BASE60","years_MLY-HTDD-BASE60","MLY-CLDD-NORMAL","meas_flag_MLY-CLDD-NORMAL","comp_flag_MLY-CLDD-NORMAL","years_MLY-CLDD-NORMAL","MLY-CLDD-BASE40","meas_flag_MLY-CLDD-BASE40","comp_flag_MLY-CLDD-BASE40","years_MLY-CLDD-BASE40","MLY-CLDD-BASE45","meas_flag_MLY-CLDD-BASE45","comp_flag_MLY-CLDD-BASE45","years_MLY-CLDD-BASE45","MLY-CLDD-BASE50","meas_flag_MLY-CLDD-BASE50","comp_flag_MLY-CLDD-BASE50","years_MLY-CLDD-BASE50","MLY-CLDD-BASE55","meas_flag_MLY-CLDD-BASE55","comp_flag_MLY-CLDD-BASE55","years_MLY-CLDD-BASE55","MLY-CLDD-BASE57","meas_flag_MLY-CLDD-BASE57","comp_flag_MLY-CLDD-BASE57","years_MLY-CLDD-BASE57","MLY-CLDD-BASE60","meas_flag_MLY-CLDD-BASE60","comp_flag_MLY-CLDD-BASE60","years_MLY-CLDD-BASE60","MLY-CLDD-BASE70","meas_flag_MLY-CLDD-BASE70","comp_flag_MLY-CLDD-BASE70","years_MLY-CLDD-BASE70","MLY-CLDD-BASE72","meas_flag_MLY-CLDD-BASE72","comp_flag_MLY-CLDD-BASE72","years_MLY-CLDD-BASE72","MLY-GRDD-BASE65","meas_flag_MLY-GRDD-BASE65","comp_flag_MLY-GRDD-BASE65","years_MLY-GRDD-BASE65","MLY-GRDD-BASE40","meas_flag_MLY-GRDD-BASE40","comp_flag_MLY-GRDD-BASE40","years_MLY-GRDD-BASE40","MLY-GRDD-BASE45","meas_flag_MLY-GRDD-BASE45","comp_flag_MLY-GRDD-BASE45","years_MLY-GRDD-BASE45","MLY-GRDD-BASE50","meas_flag_MLY-GRDD-BASE50","comp_flag_MLY-GRDD-BASE50","years_MLY-GRDD-BASE50","MLY-GRDD-BASE55","meas_flag_MLY-GRDD-BASE55","comp_flag_MLY-GRDD-BASE55","years_MLY-GRDD-BASE55","MLY-GRDD-BASE57","meas_flag_MLY-GRDD-BASE57","comp_flag_MLY-GRDD-BASE57","years_MLY-GRDD-BASE57","MLY-GRDD-BASE60","meas_flag_MLY-GRDD-BASE60","comp_flag_MLY-GRDD-BASE60","years_MLY-GRDD-BASE60","MLY-GRDD-BASE70","meas_flag_MLY-GRDD-BASE70","comp_flag_MLY-GRDD-BASE70","years_MLY-GRDD-BASE70","MLY-GRDD-BASE72","meas_flag_MLY-GRDD-BASE72","comp_flag_MLY-GRDD-BASE72","years_MLY-GRDD-BASE72","MLY-GRDD-TB4886","meas_flag_MLY-GRDD-TB4886","comp_flag_MLY-GRDD-TB4886","years_MLY-GRDD-TB4886","MLY-GRDD-TB5086","meas_flag_MLY-GRDD-TB5086","comp_flag_MLY-GRDD-TB5086","years_MLY-GRDD-TB5086","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USC00311817","01"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","01","99","99","    42.3"," ","E"," 6","    53.1"," ","E"," 6","    31.4"," ","E"," 6","    21.7"," ","E"," 6","     0.0"," ","E"," 6","     0.7"," ","E"," 6","     3.1"," ","E"," 6","    16.7"," ","E"," 6","    24.1"," ","E"," 6","    29.2"," ","E"," 6","    30.9"," ","E"," 6","    31.0"," ","E"," 6","    30.0"," ","E"," 6","    28.0"," ","E"," 6","    21.4"," ","E"," 6","     8.8"," ","E"," 6","     2.9"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     1.1"," ","E"," 6","   705.3"," ","E"," 6","    87.0"," ","E"," 6","   165.9"," ","E"," 6","   275.5"," ","E"," 6","   406.0"," ","E"," 6","   463.2"," ","E"," 6","   552.4"," ","E"," 6","     0.4"," ","E"," 6","   157.7"," ","E"," 6","    81.5"," ","E"," 6","    35.8"," ","E"," 6","    11.1"," ","E"," 6","     6.3"," ","E"," 6","     2.5"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.4"," ","E"," 6","   157.7"," ","E"," 6","    81.5"," ","E"," 6","    35.8"," ","E"," 6","    11.1"," ","E"," 6","     6.3"," ","E"," 6","     2.5"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","   116.6"," ","E"," 6","    94.7"," ","E"," 6","    3.15"," ","E"," 3"
"USC00311817","02"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","02","99","99","    43.8"," ","E"," 6","    56.1"," ","E"," 6","    31.4"," ","E"," 6","    24.7"," ","E"," 6","     0.0"," ","E"," 6","     0.2"," ","E"," 6","     2.4"," ","E"," 6","    13.8"," ","E"," 6","    21.5"," ","E"," 6","    25.5"," ","E"," 6","    27.5"," ","E"," 6","    28.0"," ","E"," 6","    27.8"," ","E"," 6","    27.3"," ","E"," 6","    21.9"," ","E"," 6","    13.0"," ","E"," 6","     5.3"," ","E"," 6","     0.6"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.2"," ","E"," 6","   595.1"," ","E"," 6","    53.2"," ","E"," 6","   121.6"," ","E"," 6","   214.6"," ","E"," 6","   329.9"," ","E"," 6","   380.2"," ","E"," 6","   458.3"," ","E"," 6","     0.4"," ","E"," 6","   158.9"," ","E"," 6","    87.3"," ","E"," 6","    40.0"," ","E"," 6","    15.3"," ","E"," 6","     9.5"," ","E"," 6","     3.6"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.4"," ","E"," 6","   158.9"," ","E"," 6","    87.3"," ","E"," 6","    40.0"," ","E"," 6","    15.3"," ","E"," 6","     9.5"," ","E"," 6","     3.6"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","   133.3"," ","E"," 6","   110.6"," ","E"," 6","    3.22"," ","E"," 4"
"USC00311817","03"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","03","99","99","    51.1"," ","E"," 5","    63.9"," ","E"," 5","    38.3"," ","E"," 5","    25.6"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","    10.4"," ","E"," 5","    17.8"," ","E"," 5","    26.3"," ","E"," 5","    30.7"," ","E"," 5","    31.0"," ","E"," 5","    31.0"," ","E"," 5","    30.9"," ","E"," 5","    27.6"," ","E"," 5","    18.3"," ","E"," 5","    10.2"," ","E"," 5","     3.1"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","   439.5"," ","E"," 5","    10.4"," ","E"," 5","    38.3"," ","E"," 5","   101.0"," ","E"," 5","   193.3"," ","E"," 5","   236.7"," ","E"," 5","   307.7"," ","E"," 5","     8.7"," ","E"," 5","   354.7"," ","E"," 5","   227.4"," ","E"," 5","   135.3"," ","E"," 5","    72.6"," ","E"," 5","    53.9"," ","E"," 5","    32.0"," ","E"," 5","     1.3"," ","E"," 5","     0.7"," ","E"," 5","     8.7"," ","E"," 5","   354.7"," ","E"," 5","   227.4"," ","E"," 5","   135.3"," ","E"," 5","    72.6"," ","E"," 5","    53.9"," ","E"," 5","    32.0"," ","E"," 5","     1.3"," ","E"," 5","     0.7"," ","E"," 5","   262.7"," ","E"," 5","   229.6"," ","E"," 5","    3.81"," ","E"," 3"
"USC00311817","04"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","04","99","99","    60.4"," ","E"," 6","    73.1"," ","E"," 6","    47.6"," ","E"," 6","    25.5"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.6"," ","E"," 6","     7.2"," ","E"," 6","    18.0"," ","E"," 6","    27.0"," ","E"," 6","    29.8"," ","E"," 6","    30.0"," ","E"," 6","    30.0"," ","E"," 6","    29.9"," ","E"," 6","    28.0"," ","E"," 6","    21.0"," ","E"," 6","     8.9"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","   180.3"," ","E"," 6","     0.8"," ","E"," 6","     4.2"," ","E"," 6","    14.5"," ","E"," 6","    40.4"," ","E"," 6","    57.2"," ","E"," 6","    90.8"," ","E"," 6","    40.7"," ","E"," 6","   611.0"," ","E"," 6","   464.5"," ","E"," 6","   324.8"," ","E"," 6","   200.8"," ","E"," 6","   157.6"," ","E"," 6","   101.2"," ","E"," 6","     9.6"," ","E"," 6","     4.1"," ","E"," 6","    40.7"," ","E"," 6","   611.0"," ","E"," 6","   464.5"," ","E"," 6","   324.8"," ","E"," 6","   200.8"," ","E"," 6","   157.6"," ","E"," 6","   101.2"," ","E"," 6","     9.6"," ","E"," 6","     4.1"," ","E"," 6","   429.9"," ","E"," 6","   386.7"," ","E"," 6","    3.69"," ","E"," 3"
"USC00311817","05"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","05","99","99","    68.5"," ","E"," 6","    79.8"," ","E"," 6","    57.2"," ","E"," 6","    22.6"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","     0.6"," ","E"," 6","     5.7"," ","E"," 6","    17.2"," ","E"," 6","    30.1"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    31.0"," ","E"," 6","    28.1"," ","E"," 6","    17.6"," ","E"," 6","     3.2"," ","E"," 6","     0.0"," ","E"," 6","     0.0"," ","E"," 6","    47.2"," ","E"," 6","     0.0","X","E"," 6","     0.0","X","E"," 6","     0.0","X","E"," 6","     2.8"," ","E"," 6","     5.4"," ","E"," 6","    14.2"," ","E"," 6","   155.8"," ","E"," 6","   883.7"," ","E"," 6","   728.6"," ","E"," 6","   573.6"," ","E"," 6","   421.4"," ","E"," 6","   362.0"," ","E"," 6","   277.8"," ","E"," 6","    64.5"," ","E"," 6","    38.5"," ","E"," 6","   155.8"," ","E"," 6","   883.7"," ","E"," 6","   728.6"," ","E"," 6","   573.6"," ","E"," 6","   421.4"," ","E"," 6","   362.0"," ","E"," 6","   277.8"," ","E"," 6","    64.5"," ","E"," 6","    38.5"," ","E"," 6","   637.5"," ","E"," 6","   580.8"," ","E"," 6","    4.23"," ","E"," 2"
"USC00311817","06"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","06","99","99","    76.8"," ","E"," 5","    87.9"," ","E"," 5","    65.6"," ","E"," 5","    22.3"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.2"," ","E"," 5","     5.6"," ","E"," 5","    22.2"," ","E"," 5","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    30.0"," ","E"," 5","    29.8"," ","E"," 5","    27.9"," ","E"," 5","    11.6"," ","E"," 5","     0.2"," ","E"," 5","     0.0"," ","E"," 5","     1.4"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0"," ","E"," 5","     0.0","X","E"," 5","     0.2"," ","E"," 5","   353.7"," ","E"," 5","  1101.8"," ","E"," 5","   952.0"," ","E"," 5","   802.1"," ","E"," 5","   652.2"," ","E"," 5","   592.2"," ","E"," 5","   502.4"," ","E"," 5","   211.2"," ","E"," 5","   158.8"," ","E"," 5","   353.7"," ","E"," 5","  1101.8"," ","E"," 5","   952.0"," ","E"," 5","   802.1"," ","E"," 5","   652.2"," ","E"," 5","   592.2"," ","E"," 5","   502.4"," ","E"," 5","   211.2"," ","E"," 5","   158.8"," ","E"," 5","   811.8"," ","E"," 5","   751.9"," ","E"," 5","    4.66"," ","E"," 2"
"USC00311817","07"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","07","99","99","    80.4"," ","E"," 8","    90.5"," ","E"," 8","    70.2"," ","E"," 8","    20.3"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.7"," ","E"," 8","    10.3"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    30.7"," ","E"," 8","    18.9"," ","E"," 8","     1.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   475.7"," ","E"," 8","  1250.2"," ","E"," 8","  1095.4"," ","E"," 8","   940.5"," ","E"," 8","   785.6"," ","E"," 8","   723.6"," ","E"," 8","   630.7"," ","E"," 8","   320.7"," ","E"," 8","   259.1"," ","E"," 8","   475.7"," ","E"," 8","  1250.2"," ","E"," 8","  1095.4"," ","E"," 8","   940.5"," ","E"," 8","   785.6"," ","E"," 8","   723.6"," ","E"," 8","   630.7"," ","E"," 8","   320.7"," ","E"," 8","   259.1"," ","E"," 8","   926.6"," ","E"," 8","   864.6"," ","E"," 8","    5.73"," ","E"," 4"
"USC00311817","08"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","08","99","99","    78.6"," ","E"," 8","    88.2"," ","E"," 8","    69.1"," ","E"," 8","    19.1"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     1.8"," ","E"," 8","    16.3"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    29.0"," ","E"," 8","    10.9"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0","X","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   423.1"," ","E"," 8","  1197.8"," ","E"," 8","  1042.9"," ","E"," 8","   887.9"," ","E"," 8","   733.0"," ","E"," 8","   671.0"," ","E"," 8","   578.0"," ","E"," 8","   268.2"," ","E"," 8","   207.9"," ","E"," 8","   423.1"," ","E"," 8","  1197.8"," ","E"," 8","  1042.9"," ","E"," 8","   887.9"," ","E"," 8","   733.0"," ","E"," 8","   671.0"," ","E"," 8","   578.0"," ","E"," 8","   268.2"," ","E"," 8","   207.9"," ","E"," 8","   902.3"," ","E"," 8","   840.3"," ","E"," 8","    5.01"," ","E"," 4"
"USC00311817","09"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","09","99","99","    73.5"," ","E"," 9","    82.8"," ","E"," 9","    64.1"," ","E"," 9","    18.7"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.8"," ","E"," 9","     6.9"," ","E"," 9","    23.2"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    29.9"," ","E"," 9","    29.2"," ","E"," 9","    21.8"," ","E"," 9","     3.2"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","    10.1"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.2"," ","E"," 9","     0.5"," ","E"," 9","     1.5"," ","E"," 9","   263.3"," ","E"," 9","  1002.6"," ","E"," 9","   852.8"," ","E"," 9","   703.0"," ","E"," 9","   553.4"," ","E"," 9","   493.7"," ","E"," 9","   404.7"," ","E"," 9","   140.4"," ","E"," 9","    98.8"," ","E"," 9","   263.3"," ","E"," 9","  1002.6"," ","E"," 9","   852.8"," ","E"," 9","   703.0"," ","E"," 9","   553.4"," ","E"," 9","   493.7"," ","E"," 9","   404.7"," ","E"," 9","   140.4"," ","E"," 9","    98.8"," ","E"," 9","   749.0"," ","E"," 9","   689.9"," ","E"," 9","    6.81"," ","E"," 3"
"USC00311817","10"," 35.6350"," -78.3981"," 101.2","CLAYTON 3E, NC US","10","99","99","    61.7"," ","E"," 9","    72.6"," ","E"," 9","    50.8"," ","E"," 9","    21.8"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.5"," ","E"," 9","     3.9"," ","E"," 9","    13.8"," ","E"," 9","    25.3"," ","E"," 9","    30.3"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    29.0"," ","E"," 9","    20.8"," ","E"," 9","     7.1"," ","E"," 9","     0.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   162.7"," ","E"," 9","     0.2"," ","E"," 9","     1.7"," ","E"," 9","     9.4"," ","E"," 9","    30.7"," ","E"," 9","    46.7"," ","E"," 9","    79.1"," ","E"," 9","    60.3"," ","E"," 9","   672.9"," ","E"," 9","   519.3"," ","E"," 9","   372.0"," ","E"," 9","   238.4"," ","E"," 9","   192.4"," ","E"," 9","   131.8"," ","E"," 9","    20.1"," ","E"," 9","    12.4"," ","E"," 9","    60.3"," ","E"," 9","   672.9"," ","E"," 9","   519.3"," ","E"," 9","   372.0"," ","E"," 9","   238.4"," ","E"," 9","   192.4"," ","E"," 9","   131.8"," ","E"," 9","    20.1"," ","E"," 9","    12.4"," ","E"," 9","   462.5"," ","E"," 9","   414.4"," ","E"," 9","    3.73"," ","E"," 5"
