"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0005P04S","01"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","01","99","99","    1.39"," ","S","15","     6.4"," ","S","15","     6.4"," ","S","15","     1.8"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.79"," ","S","15","    1.39"," ","S","15","    1.79"," ","S","15","    0.61"," ","S","15","    1.26"," ","S","15","    1.59"," ","S","15","    1.93"," ","S","15","    1.09"," ","S","15","    1.63"," ","S","15"
"USS0005P04S","02"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","02","99","99","    1.25"," ","S","15","     7.4"," ","S","15","     7.4"," ","S","15","     1.3"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.79"," ","S","15","    1.19"," ","S","15","    1.74"," ","S","15","    0.77"," ","S","15","    0.95"," ","S","15","    1.27"," ","S","15","    2.01"," ","S","15","    0.86"," ","S","15","    1.43"," ","S","15"
"USS0005P04S","03"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","03","99","99","    1.45"," ","S","15","     7.2"," ","S","15","     7.2"," ","S","15","     1.1"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.70"," ","S","15","    1.09"," ","S","15","    1.69"," ","S","15","    0.68"," ","S","15","    1.05"," ","S","15","    1.54"," ","S","15","    1.72"," ","S","15","    0.89"," ","S","15","    1.63"," ","S","15"
"USS0005P04S","04"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","04","99","99","    1.35"," ","S","15","     7.3"," ","S","15","     7.3"," ","S","15","     1.4"," ","S","15","     0.6"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.70"," ","S","15","    1.29"," ","S","15","    1.74"," ","S","15","    0.70"," ","S","15","    1.05"," ","S","15","    1.38"," ","S","15","    2.01"," ","S","15","    0.89"," ","S","15","    1.53"," ","S","15"
"USS0005P04S","05"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","05","99","99","    1.33"," ","S","15","     6.9"," ","S","15","     6.9"," ","S","15","     1.3"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.65"," ","S","15","    1.19"," ","S","15","    1.49"," ","S","15","    0.60"," ","S","15","    0.86"," ","S","15","    1.24"," ","S","15","    1.61"," ","S","15","    0.76"," ","S","15","    1.36"," ","S","15"
"USS0005P04S","06"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","06","99","99","    1.16"," ","S","15","     4.8"," ","S","15","     4.8"," ","S","15","     1.1"," ","S","15","     0.6"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.30"," ","S","15","    0.40"," ","S","15","    1.69"," ","S","15","    0.30"," ","S","15","    0.30"," ","S","15","    0.96"," ","S","15","    2.17"," ","S","15","    0.30"," ","S","15","    1.23"," ","S","15"
"USS0005P04S","07"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","07","99","99","    4.52"," ","S","15","    13.1"," ","S","15","    13.1"," ","S","15","     6.0"," ","S","15","     3.4"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.09"," ","S","15","    4.19"," ","S","15","    5.24"," ","S","15","    2.97"," ","S","15","    3.70"," ","S","15","    4.65"," ","S","15","    5.65"," ","S","15","    3.33"," ","S","15","    4.99"," ","S","15"
"USS0005P04S","08"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","08","99","99","    3.29"," ","S","15","    10.9"," ","S","15","    10.9"," ","S","15","     4.0"," ","S","15","     2.2"," ","S","15","     0.6"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.49"," ","S","15","    2.49"," ","S","15","    4.74"," ","S","15","    1.29"," ","S","15","    2.23"," ","S","15","    2.83"," ","S","15","    5.23"," ","S","15","    1.89"," ","S","15","    3.42"," ","S","15"
"USS0005P04S","09"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","09","99","99","    1.92"," ","S","14","     7.4"," ","S","15","     7.4"," ","S","15","     1.9"," ","S","15","     1.0"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.99"," ","S","14","    1.09"," ","S","14","    2.30"," ","S","14","    0.97"," ","S","14","    1.02"," ","S","14","    1.31"," ","S","14","    2.42"," ","S","14","    1.00"," ","S","14","    1.77"," ","S","14"
"USS0005P04S","10"," 35.7000","-105.8100","2502.4","Elk Cabin, NM US","10","99","99","    1.73"," ","S","15","     5.1"," ","S","15","     5.1"," ","S","15","     2.1"," ","S","15","     1.4"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.80"," ","S","15","    1.40"," ","S","15","    2.55"," ","S","15","    0.50"," ","S","15","    1.20"," ","S","15","    1.53"," ","S","15","    2.73"," ","S","15","    1.16"," ","S","15","    1.86"," ","S","15"
