"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0006J08S","01"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","01","99","99","    3.50"," ","S","15","    15.8"," ","S","15","    15.8"," ","S","15","     4.3"," ","S","15","     1.6"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.94"," ","S","15","    3.10"," ","S","15","    4.24"," ","S","15","    2.73"," ","S","15","    3.09"," ","S","15","    3.27"," ","S","15","    4.49"," ","S","15","    3.08"," ","S","15","    3.62"," ","S","15"
"USS0006J08S","02"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","02","99","99","    3.77"," ","S","15","    15.2"," ","S","15","    15.2"," ","S","15","     5.4"," ","S","15","     1.8"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.15"," ","S","15","    3.79"," ","S","15","    4.30"," ","S","15","    2.93"," ","S","15","    3.57"," ","S","15","    3.97"," ","S","15","    4.54"," ","S","15","    3.33"," ","S","15","    4.09"," ","S","15"
"USS0006J08S","03"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","03","99","99","    3.84"," ","S","15","    15.1"," ","S","15","    15.1"," ","S","15","     5.9"," ","S","15","     2.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.14"," ","S","15","    3.49"," ","S","15","    4.59"," ","S","15","    2.96"," ","S","15","    3.45"," ","S","15","    3.63"," ","S","15","    5.17"," ","S","15","    3.32"," ","S","15","    3.85"," ","S","15"
"USS0006J08S","04"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","04","99","99","    4.57"," ","S","14","    15.3"," ","S","15","    15.3"," ","S","15","     6.4"," ","S","15","     3.1"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.55"," ","S","14","    4.59"," ","S","14","    5.45"," ","S","14","    3.37"," ","S","14","    3.95"," ","S","14","    4.79"," ","S","14","    6.00"," ","S","14","    3.79"," ","S","14","    4.86"," ","S","14"
"USS0006J08S","05"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","05","99","99","    3.49"," ","S","15","    11.1"," ","S","15","    11.1"," ","S","15","     5.2"," ","S","15","     2.7"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.24"," ","S","15","    3.19"," ","S","15","    4.55"," ","S","15","    2.15"," ","S","15","    2.75"," ","S","15","    3.98"," ","S","15","    4.78"," ","S","15","    2.56"," ","S","15","    4.20"," ","S","15"
"USS0006J08S","06"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","06","99","99","    1.37"," ","S","15","     4.9"," ","S","15","     4.9"," ","S","15","     1.5"," ","S","15","     1.0"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.55"," ","S","15","    0.89"," ","S","15","    1.70"," ","S","15","    0.44"," ","S","15","    0.72"," ","S","15","    1.30"," ","S","15","    1.96"," ","S","15","    0.60"," ","S","15","    1.60"," ","S","15"
"USS0006J08S","07"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","07","99","99","    1.74"," ","S","15","     7.1"," ","S","15","     7.1"," ","S","15","     2.1"," ","S","15","     1.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.85"," ","S","15","    1.79"," ","S","15","    2.20"," ","S","15","    0.70"," ","S","15","    1.47"," ","S","15","    1.87"," ","S","15","    2.52"," ","S","15","    1.00"," ","S","15","    1.99"," ","S","15"
"USS0006J08S","08"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","08","99","99","    1.61"," ","S","15","     6.9"," ","S","15","     6.9"," ","S","15","     2.0"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.70"," ","S","15","    1.19"," ","S","15","    1.99"," ","S","15","    0.60"," ","S","15","    1.10"," ","S","15","    1.70"," ","S","15","    2.35"," ","S","15","    1.00"," ","S","15","    1.77"," ","S","15"
"USS0006J08S","09"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","09","99","99","    2.13"," ","S","15","     7.7"," ","S","15","     7.7"," ","S","15","     2.8"," ","S","15","     1.8"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.99"," ","S","15","    1.50"," ","S","15","    3.10"," ","S","15","    0.80"," ","S","15","    1.40"," ","S","15","    2.07"," ","S","15","    3.68"," ","S","15","    1.33"," ","S","15","    2.33"," ","S","15"
"USS0006J08S","10"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","10","99","99","    3.46"," ","S","15","    11.3"," ","S","15","    11.3"," ","S","15","     5.0"," ","S","15","     2.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.59"," ","S","15","    3.40"," ","S","15","    4.30"," ","S","15","    2.47"," ","S","15","    3.10"," ","S","15","    3.69"," ","S","15","    4.39"," ","S","15","    2.76"," ","S","15","    3.86"," ","S","15"
"USS0006J08S","11"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","11","99","99","    2.99"," ","S","14","    11.2"," ","S","15","    11.2"," ","S","15","     4.1"," ","S","15","     1.9"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.34"," ","S","14","    3.39"," ","S","14","    3.79"," ","S","14","    2.12"," ","S","14","    2.70"," ","S","14","    3.43"," ","S","14","    3.90"," ","S","14","    2.59"," ","S","14","    3.59"," ","S","14"
"USS0006J08S","12"," 40.3500","-106.3800","3340.6","Arapaho Ridge, CO US","12","99","99","    3.99"," ","S","15","    15.8"," ","S","15","    15.8"," ","S","15","     5.0"," ","S","15","     2.4"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.99"," ","S","15","    3.99"," ","S","15","    5.09"," ","S","15","    2.97"," ","S","15","    3.23"," ","S","15","    4.61"," ","S","15","    5.44"," ","S","15","    2.99"," ","S","15","    4.79"," ","S","15"
