"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0006K46S","01"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","01","99","99","    2.83"," ","R","11","    12.7"," ","S","13","    12.7"," ","S","13","     3.9"," ","S","13","     1.2"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.69"," ","R","11","    2.59"," ","R","11","    3.34"," ","R","11","    1.35"," ","R","11","    2.33"," ","R","11","    2.95"," ","R","11","    3.65"," ","R","11","    2.06"," ","R","11","    3.23"," ","R","11"
"USS0006K46S","02"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","02","99","99","    2.69"," ","S","12","    12.7"," ","S","13","    12.7"," ","S","13","     3.6"," ","S","13","     1.3"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.24"," ","S","12","    2.68"," ","S","12","    3.05"," ","S","12","    2.16"," ","S","12","    2.55"," ","S","12","    2.78"," ","S","12","    3.16"," ","S","12","    2.43"," ","S","12","    2.93"," ","S","12"
"USS0006K46S","03"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","03","99","99","    2.99"," ","R","11","    13.0"," ","S","13","    13.0"," ","S","13","     3.8"," ","S","13","     1.4"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.28"," ","R","11","    2.70"," ","R","11","    3.45"," ","R","11","    2.18"," ","R","11","    2.59"," ","R","11","    3.05"," ","R","11","    3.62"," ","R","11","    2.50"," ","R","11","    3.31"," ","R","11"
"USS0006K46S","04"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","04","99","99","    3.51"," ","S","13","    14.0"," ","S","13","    14.0"," ","S","13","     5.0"," ","S","13","     2.6"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.72"," ","S","13","    3.19"," ","S","13","    4.29"," ","S","13","    2.58"," ","S","13","    2.99"," ","S","13","    3.38"," ","S","13","    4.39"," ","S","13","    2.94"," ","S","13","    3.73"," ","S","13"
"USS0006K46S","05"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","05","99","99","    2.85"," ","S","13","    11.9"," ","S","13","    11.9"," ","S","13","     4.4"," ","S","13","     1.8"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.58"," ","S","13","    3.39"," ","S","13","    3.64"," ","S","13","    1.49"," ","S","13","    2.98"," ","S","13","    3.49"," ","S","13","    3.75"," ","S","13","    2.20"," ","S","13","    3.52"," ","S","13"
"USS0006K46S","06"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","06","99","99","    0.98"," ","S","13","     5.4"," ","S","13","     5.4"," ","S","13","     1.4"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    0.50"," ","S","13","    0.99"," ","S","13","    1.29"," ","S","13","    0.28"," ","S","13","    0.80"," ","S","13","    1.10"," ","S","13","    1.41"," ","S","13","    0.76"," ","S","13","    1.13"," ","S","13"
"USS0006K46S","07"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","07","99","99","    2.71"," ","S","13","    10.8"," ","S","13","    10.8"," ","S","13","     3.5"," ","S","13","     1.4"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.79"," ","S","13","    2.69"," ","S","13","    3.59"," ","S","13","    1.75"," ","S","13","    2.35"," ","S","13","    3.04"," ","S","13","    3.69"," ","S","13","    1.93"," ","S","13","    3.28"," ","S","13"
"USS0006K46S","08"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","08","99","99","    2.49"," ","S","13","     9.5"," ","S","13","     9.5"," ","S","13","     2.9"," ","S","13","     1.6"," ","S","13","     0.3"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.05"," ","S","13","    2.40"," ","S","13","    3.06"," ","S","13","    1.85"," ","S","13","    2.31"," ","S","13","    2.73"," ","S","13","    3.14"," ","S","13","    2.20"," ","S","13","    2.87"," ","S","13"
"USS0006K46S","09"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","09","99","99","    2.08"," ","S","13","     8.3"," ","S","13","     8.3"," ","S","13","     2.2"," ","S","13","     0.8"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.19"," ","S","13","    1.80"," ","S","13","    2.34"," ","S","13","    1.17"," ","S","13","    1.56"," ","S","13","    1.93"," ","S","13","    2.57"," ","S","13","    1.40"," ","S","13","    2.09"," ","S","13"
"USS0006K46S","10"," 39.2600","-106.6300","3081.5","Chapman Tunnel, CO US","10","99","99","    2.36"," ","S","14","    11.2"," ","S","14","    11.2"," ","S","14","     2.9"," ","S","14","     0.6"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.59"," ","S","14","    2.30"," ","S","14","    3.08"," ","S","14","    1.40"," ","S","14","    2.25"," ","S","14","    2.83"," ","S","14","    3.10"," ","S","14","    2.06"," ","S","14","    2.95"," ","S","14"
