"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0006M22S","01"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","01","99","99","    4.87"," ","S","14","    11.9"," ","S","15","    11.9"," ","S","15","     4.8"," ","S","15","     3.0"," ","S","15","     1.5"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.74"," ","S","14","    3.79"," ","S","14","    5.25"," ","S","14","    2.58"," ","S","14","    3.39"," ","S","14","    4.23"," ","S","14","    5.47"," ","S","14","    3.03"," ","S","14","    4.56"," ","S","14"
"USS0006M22S","02"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","02","99","99","    4.33"," ","S","15","    12.8"," ","S","15","    12.8"," ","S","15","     5.1"," ","S","15","     3.2"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.44"," ","S","15","    4.29"," ","S","15","    5.25"," ","S","15","    2.38"," ","S","15","    3.21"," ","S","15","    4.57"," ","S","15","    5.58"," ","S","15","    2.89"," ","S","15","    4.80"," ","S","15"
"USS0006M22S","03"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","03","99","99","    3.05"," ","S","15","    10.9"," ","S","15","    10.9"," ","S","15","     3.5"," ","S","15","     1.8"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.69"," ","S","15","    2.60"," ","S","15","    3.50"," ","S","15","    1.49"," ","S","15","    2.33"," ","S","15","    2.64"," ","S","15","    3.64"," ","S","15","    1.99"," ","S","15","    2.93"," ","S","15"
"USS0006M22S","04"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","04","99","99","    2.60"," ","S","15","     8.6"," ","S","15","     8.6"," ","S","15","     3.5"," ","S","15","     1.9"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.75"," ","S","15","    2.30"," ","S","15","    3.64"," ","S","15","    1.64"," ","S","15","    2.02"," ","S","15","    2.89"," ","S","15","    3.82"," ","S","15","    1.87"," ","S","15","    3.10"," ","S","15"
"USS0006M22S","05"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","05","99","99","    2.40"," ","S","14","     8.5"," ","S","15","     8.5"," ","S","15","     2.8"," ","S","15","     1.5"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.69"," ","S","14","    2.01"," ","S","14","    3.24"," ","S","14","    0.38"," ","S","14","    1.75"," ","S","14","    2.17"," ","S","14","    3.59"," ","S","14","    1.26"," ","S","14","    2.49"," ","S","14"
"USS0006M22S","06"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","06","99","99","    0.76"," ","S","14","     3.8"," ","S","15","     3.8"," ","S","15","     0.8"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.20"," ","S","14","    0.60"," ","S","14","    0.80"," ","S","14","    0.10"," ","S","14","    0.51"," ","S","14","    0.73"," ","S","14","    0.80"," ","S","14","    0.36"," ","S","14","    0.78"," ","S","14"
"USS0006M22S","07"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","07","99","99","    2.37"," ","S","14","    10.1"," ","S","14","    10.1"," ","S","14","     3.1"," ","S","14","     1.1"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.85"," ","S","14","    2.29"," ","S","14","    2.94"," ","S","14","    1.69"," ","S","14","    2.15"," ","S","14","    2.50"," ","S","14","    3.03"," ","S","14","    2.04"," ","S","14","    2.63"," ","S","14"
"USS0006M22S","08"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","08","99","99","    2.53"," ","S","15","    10.9"," ","S","15","    10.9"," ","S","15","     3.4"," ","S","15","     1.1"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.29"," ","S","15","    2.59"," ","S","15","    3.14"," ","S","15","    1.17"," ","S","15","    2.00"," ","S","15","    2.83"," ","S","15","    3.23"," ","S","15","    1.60"," ","S","15","    2.95"," ","S","15"
"USS0006M22S","09"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","09","99","99","    2.88"," ","S","15","    10.4"," ","S","15","    10.4"," ","S","15","     3.5"," ","S","15","     1.7"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.75"," ","S","15","    2.09"," ","S","15","    3.45"," ","S","15","    1.70"," ","S","15","    1.95"," ","S","15","    3.13"," ","S","15","    3.78"," ","S","15","    1.86"," ","S","15","    3.26"," ","S","15"
"USS0006M22S","10"," 37.0200","-106.4500","3060.2","Cumbres Trestle, CO US","10","99","99","    2.61"," ","S","15","     9.3"," ","S","15","     9.3"," ","S","15","     3.1"," ","S","15","     1.8"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.49"," ","S","15","    2.10"," ","S","15","    2.95"," ","S","15","    1.17"," ","S","15","    1.97"," ","S","15","    2.77"," ","S","15","    3.30"," ","S","15","    1.79"," ","S","15","    2.89"," ","S","15"
