"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0007H06S","01"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","01","99","99","    2.46"," ","S","13","    12.2"," ","S","15","    12.2"," ","S","15","     2.8"," ","S","15","     1.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.50"," ","S","13","    2.08"," ","S","13","    3.29"," ","S","13","    1.39"," ","S","13","    1.78"," ","S","13","    2.83"," ","S","13","    3.51"," ","S","13","    1.66"," ","S","13","    2.95"," ","S","13"
"USS0007H06S","02"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","02","99","99","    1.96"," ","S","14","    11.3"," ","S","15","    11.3"," ","S","15","     2.0"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.29"," ","S","14","    1.79"," ","S","14","    2.84"," ","S","14","    1.18"," ","S","14","    1.59"," ","S","14","    2.07"," ","S","14","    2.99"," ","S","14","    1.52"," ","S","14","    2.30"," ","S","14"
"USS0007H06S","03"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","03","99","99","    1.84"," ","S","12","     9.0"," ","S","15","     9.0"," ","S","15","     2.4"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.34"," ","S","12","    1.99"," ","S","12","    2.39"," ","S","12","    1.11"," ","S","12","    1.62"," ","S","12","    1.99"," ","S","12","    2.44"," ","S","12","    1.50"," ","S","12","    2.13"," ","S","12"
"USS0007H06S","04"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","04","99","99","    2.27"," ","S","14","     9.6"," ","S","15","     9.6"," ","S","15","     2.8"," ","S","15","     1.3"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.44"," ","S","14","    2.00"," ","S","14","    2.93"," ","S","14","    1.37"," ","S","14","    1.73"," ","S","14","    2.13"," ","S","14","    3.53"," ","S","14","    1.49"," ","S","14","    2.25"," ","S","14"
"USS0007H06S","05"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","05","99","99","    2.01"," ","S","15","     8.8"," ","S","15","     8.8"," ","S","15","     2.3"," ","S","15","     0.9"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.29"," ","S","15","    1.79"," ","S","15","    2.40"," ","S","15","    1.00"," ","S","15","    1.70"," ","S","15","    1.93"," ","S","15","    2.66"," ","S","15","    1.66"," ","S","15","    2.06"," ","S","15"
"USS0007H06S","06"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","06","99","99","    0.96"," ","S","15","     4.3"," ","S","15","     4.3"," ","S","15","     1.1"," ","S","15","     0.7"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.30"," ","S","15","    0.60"," ","S","15","    1.40"," ","S","15","    0.24"," ","S","15","    0.45"," ","S","15","    0.98"," ","S","15","    1.62"," ","S","15","    0.36"," ","S","15","    1.16"," ","S","15"
"USS0007H06S","07"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","07","99","99","    0.67"," ","S","14","     4.7"," ","S","15","     4.7"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.32"," ","S","14","    0.50"," ","S","14","    1.09"," ","S","14","    0.30"," ","S","14","    0.40"," ","S","14","    0.59"," ","S","14","    1.21"," ","S","14","    0.38"," ","S","14","    0.73"," ","S","14"
"USS0007H06S","08"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","08","99","99","    1.01"," ","S","13","     4.9"," ","S","15","     4.9"," ","S","15","     1.4"," ","S","15","     0.6"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.40"," ","S","13","    1.09"," ","S","13","    1.35"," ","S","13","    0.38"," ","S","13","    0.79"," ","S","13","    1.23"," ","S","13","    1.50"," ","S","13","    0.46"," ","S","13","    1.27"," ","S","13"
"USS0007H06S","09"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","09","99","99","    1.30"," ","S","14","     5.2"," ","S","15","     5.2"," ","S","15","     1.9"," ","S","15","     1.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.55"," ","S","14","    1.10"," ","S","14","    2.15"," ","S","14","    0.38"," ","S","14","    0.76"," ","S","14","    1.60"," ","S","14","    2.23"," ","S","14","    0.70"," ","S","14","    1.97"," ","S","14"
"USS0007H06S","10"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","10","99","99","    1.97"," ","S","15","     9.2"," ","S","15","     9.2"," ","S","15","     2.5"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.00"," ","S","15","    1.50"," ","S","15","    2.90"," ","S","15","    1.00"," ","S","15","    1.19"," ","S","15","    2.24"," ","S","15","    3.08"," ","S","15","    1.12"," ","S","15","    2.66"," ","S","15"
"USS0007H06S","11"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","11","99","99","    1.82"," ","S","14","     8.5"," ","S","15","     8.5"," ","S","15","     2.3"," ","S","15","     1.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.30"," ","S","14","    1.69"," ","S","14","    2.20"," ","S","14","    1.17"," ","S","14","    1.51"," ","S","14","    1.84"," ","S","14","    2.43"," ","S","14","    1.39"," ","S","14","    1.93"," ","S","14"
"USS0007H06S","12"," 41.4000","-107.2600","2392.7","Sage Creek Basin, WY US","12","99","99","    2.61"," ","S","15","    12.5"," ","S","15","    12.5"," ","S","15","     3.0"," ","S","15","     1.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.94"," ","S","15","    2.20"," ","S","15","    2.94"," ","S","15","    1.83"," ","S","15","    2.11"," ","S","15","    2.57"," ","S","15","    3.25"," ","S","15","    1.99"," ","S","15","    2.69"," ","S","15"
