"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0009E10S","01"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","01","99","99","    3.78"," ","S","15","    15.7"," ","S","15","    15.7"," ","S","15","     4.6"," ","S","15","     2.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.89"," ","S","15","    3.89"," ","S","15","    4.39"," ","S","15","    2.89"," ","S","15","    3.75"," ","S","15","    4.01"," ","S","15","    4.53"," ","S","15","    3.42"," ","S","15","    4.22"," ","S","15"
"USS0009E10S","02"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","02","99","99","    4.15"," ","S","15","    14.9"," ","S","15","    14.9"," ","S","15","     5.6"," ","S","15","     2.6"," ","S","15","     0.6"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.39"," ","S","15","    3.39"," ","S","15","    5.59"," ","S","15","    2.27"," ","S","15","    2.77"," ","S","15","    3.88"," ","S","15","    7.01"," ","S","15","    2.55"," ","S","15","    4.06"," ","S","15"
"USS0009E10S","03"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","03","99","99","    3.57"," ","S","15","    16.6"," ","S","15","    16.6"," ","S","15","     3.9"," ","S","15","     1.6"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.99"," ","S","15","    3.38"," ","S","15","    4.54"," ","S","15","    1.85"," ","S","15","    2.79"," ","S","15","    4.01"," ","S","15","    5.02"," ","S","15","    2.36"," ","S","15","    4.22"," ","S","15"
"USS0009E10S","04"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","04","99","99","    3.71"," ","S","15","    16.0"," ","S","15","    16.0"," ","S","15","     4.8"," ","S","15","     2.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.84"," ","S","15","    3.89"," ","S","15","    4.24"," ","S","15","    2.53"," ","S","15","    3.29"," ","S","15","    4.13"," ","S","15","    4.45"," ","S","15","    3.22"," ","S","15","    4.19"," ","S","15"
"USS0009E10S","05"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","05","99","99","    3.36"," ","S","15","    14.6"," ","S","15","    14.6"," ","S","15","     4.5"," ","S","15","     1.9"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.34"," ","S","15","    3.00"," ","S","15","    4.74"," ","S","15","    2.23"," ","S","15","    2.73"," ","S","15","    3.67"," ","S","15","    4.81"," ","S","15","    2.46"," ","S","15","    4.09"," ","S","15"
"USS0009E10S","06"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","06","99","99","    2.63"," ","S","15","    12.7"," ","S","15","    12.7"," ","S","15","     3.0"," ","S","15","     1.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.80"," ","S","15","    2.29"," ","S","15","    3.44"," ","S","15","    1.57"," ","S","15","    2.21"," ","S","15","    2.69"," ","S","15","    3.75"," ","S","15","    2.06"," ","S","15","    2.86"," ","S","15"
"USS0009E10S","07"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","07","99","99","    1.47"," ","S","15","     6.5"," ","S","15","     6.5"," ","S","15","     2.3"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.90"," ","S","15","    1.50"," ","S","15","    1.80"," ","S","15","    0.60"," ","S","15","    1.36"," ","S","15","    1.64"," ","S","15","    1.97"," ","S","15","    1.26"," ","S","15","    1.70"," ","S","15"
"USS0009E10S","08"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","08","99","99","    1.44"," ","S","15","     7.4"," ","S","15","     7.4"," ","S","15","     1.9"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.79"," ","S","15","    1.59"," ","S","15","    1.89"," ","S","15","    0.75"," ","S","15","    0.99"," ","S","15","    1.79"," ","S","15","    1.96"," ","S","15","    0.93"," ","S","15","    1.82"," ","S","15"
"USS0009E10S","09"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","09","99","99","    1.94"," ","S","15","     8.5"," ","S","15","     8.5"," ","S","15","     2.5"," ","S","15","     0.8"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.05"," ","S","15","    1.89"," ","S","15","    2.55"," ","S","15","    0.96"," ","S","15","    1.58"," ","S","15","    1.98"," ","S","15","    2.84"," ","S","15","    1.30"," ","S","15","    2.20"," ","S","15"
"USS0009E10S","10"," 44.9400","-109.5700","2852.9","Beartooth Lake, WY US","10","99","99","    2.98"," ","S","15","    13.5"," ","S","15","    13.5"," ","S","15","     3.8"," ","S","15","     1.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.09"," ","S","15","    2.69"," ","S","15","    3.59"," ","S","15","    1.95"," ","S","15","    2.55"," ","S","15","    2.93"," ","S","15","    3.71"," ","S","15","    2.39"," ","S","15","    3.16"," ","S","15"
