"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0009S01S","01"," 33.9800","-109.5000","2781.3","Baldy, AZ US","01","99","99","    2.53"," ","S","14","     9.0"," ","S","15","     9.0"," ","S","15","     2.6"," ","S","15","     1.3"," ","S","15","     0.6"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    1.04"," ","S","14","    2.10"," ","S","14","    3.09"," ","S","14","    0.95"," ","S","14","    1.84"," ","S","14","    2.79"," ","S","14","    3.63"," ","S","14","    1.43"," ","S","14","    2.79"," ","S","14"
"USS0009S01S","02"," 33.9800","-109.5000","2781.3","Baldy, AZ US","02","99","99","    2.08"," ","S","12","     9.3"," ","S","15","     9.3"," ","S","15","     2.4"," ","S","15","     1.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.35"," ","S","12","    1.70"," ","S","12","    2.45"," ","S","12","    1.29"," ","S","12","    1.52"," ","S","12","    2.28"," ","S","12","    2.53"," ","S","12","    1.45"," ","S","12","    2.40"," ","S","12"
"USS0009S01S","03"," 33.9800","-109.5000","2781.3","Baldy, AZ US","03","99","99","    1.92"," ","S","14","     9.2"," ","S","15","     9.2"," ","S","15","     1.7"," ","S","15","     0.7"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.39"," ","S","14","    2.19"," ","S","14","    2.34"," ","S","14","    0.88"," ","S","14","    1.91"," ","S","14","    2.21"," ","S","14","    2.41"," ","S","14","    1.80"," ","S","14","    2.25"," ","S","14"
"USS0009S01S","04"," 33.9800","-109.5000","2781.3","Baldy, AZ US","04","99","99","    0.90"," ","S","15","     4.3"," ","S","15","     4.3"," ","S","15","     1.3"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.60"," ","S","15","    0.80"," ","S","15","    1.35"," ","S","15","    0.54"," ","S","15","    0.76"," ","S","15","    0.90"," ","S","15","    1.39"," ","S","15","    0.66"," ","S","15","    1.03"," ","S","15"
"USS0009S01S","05"," 33.9800","-109.5000","2781.3","Baldy, AZ US","05","99","99","    0.96"," ","S","15","     3.9"," ","S","15","     3.9"," ","S","15","     1.0"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.40"," ","S","15","    0.90"," ","S","15","    1.10"," ","S","15","    0.36"," ","S","15","    0.62"," ","S","15","    1.00"," ","S","15","    1.32"," ","S","15","    0.47"," ","S","15","    1.00"," ","S","15"
"USS0009S01S","06"," 33.9800","-109.5000","2781.3","Baldy, AZ US","06","99","99","    0.52"," ","S","14","     2.6"," ","S","15","     2.6"," ","S","15","     0.8"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.05"," ","S","14","    0.20"," ","S","14","    0.91"," ","S","14","    0.00"," ","S","14","    0.10"," ","S","14","    0.66"," ","S","14","    0.93"," ","S","14","    0.10"," ","S","14","    0.90"," ","S","14"
"USS0009S01S","07"," 33.9800","-109.5000","2781.3","Baldy, AZ US","07","99","99","    5.07"," ","S","15","    15.9"," ","S","15","    15.9"," ","S","15","     7.7"," ","S","15","     3.7"," ","S","15","     0.7"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    4.40"," ","S","15","    4.99"," ","S","15","    6.20"," ","S","15","    4.16"," ","S","15","    4.87"," ","S","15","    5.60"," ","S","15","    6.32"," ","S","15","    4.63"," ","S","15","    5.77"," ","S","15"
"USS0009S01S","08"," 33.9800","-109.5000","2781.3","Baldy, AZ US","08","99","99","    4.10"," ","S","15","    12.9"," ","S","15","    12.9"," ","S","15","     6.9"," ","S","15","     2.5"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.30"," ","S","15","    4.20"," ","S","15","    4.94"," ","S","15","    2.83"," ","S","15","    3.93"," ","S","15","    4.70"," ","S","15","    5.09"," ","S","15","    3.63"," ","S","15","    4.77"," ","S","15"
"USS0009S01S","09"," 33.9800","-109.5000","2781.3","Baldy, AZ US","09","99","99","    1.99"," ","S","14","     8.7"," ","S","15","     8.7"," ","S","15","     2.9"," ","S","15","     1.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.29"," ","S","14","    2.10"," ","S","14","    2.85"," ","S","14","    1.27"," ","S","14","    1.57"," ","S","14","    2.43"," ","S","14","    2.89"," ","S","14","    1.36"," ","S","14","    2.59"," ","S","14"
"USS0009S01S","10"," 33.9800","-109.5000","2781.3","Baldy, AZ US","10","99","99","    1.44"," ","S","15","     5.9"," ","S","15","     5.9"," ","S","15","     2.2"," ","S","15","     0.7"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.65"," ","S","15","    0.99"," ","S","15","    2.15"," ","S","15","    0.40"," ","S","15","    0.99"," ","S","15","    1.40"," ","S","15","    2.36"," ","S","15","    0.96"," ","S","15","    2.00"," ","S","15"
