"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0010F02S","01"," 43.9500","-110.4500","2142.7","Base Camp, WY US","01","99","99","    4.03"," ","S","15","    14.1"," ","S","15","    14.1"," ","S","15","     5.4"," ","S","15","     2.9"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.05"," ","S","15","    3.70"," ","S","15","    5.19"," ","S","15","    2.90"," ","S","15","    3.50"," ","S","15","    4.19"," ","S","15","    5.31"," ","S","15","    3.39"," ","S","15","    4.89"," ","S","15"
"USS0010F02S","02"," 43.9500","-110.4500","2142.7","Base Camp, WY US","02","99","99","    3.49"," ","S","15","    13.3"," ","S","15","    13.3"," ","S","15","     4.6"," ","S","15","     1.7"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.10"," ","S","15","    2.69"," ","S","15","    3.84"," ","S","15","    1.89"," ","S","15","    2.45"," ","S","15","    3.09"," ","S","15","    4.44"," ","S","15","    2.36"," ","S","15","    3.48"," ","S","15"
"USS0010F02S","03"," 43.9500","-110.4500","2142.7","Base Camp, WY US","03","99","99","    3.41"," ","S","15","    12.7"," ","S","15","    12.7"," ","S","15","     4.4"," ","S","15","     2.3"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.19"," ","S","15","    3.19"," ","S","15","    4.25"," ","S","15","    1.97"," ","S","15","    2.86"," ","S","15","    3.57"," ","S","15","    4.96"," ","S","15","    2.56"," ","S","15","    3.73"," ","S","15"
"USS0010F02S","04"," 43.9500","-110.4500","2142.7","Base Camp, WY US","04","99","99","    3.23"," ","S","15","    13.3"," ","S","15","    13.3"," ","S","15","     4.8"," ","S","15","     1.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.55"," ","S","15","    2.99"," ","S","15","    3.55"," ","S","15","    2.30"," ","S","15","    2.85"," ","S","15","    3.37"," ","S","15","    3.63"," ","S","15","    2.76"," ","S","15","    3.49"," ","S","15"
"USS0010F02S","05"," 43.9500","-110.4500","2142.7","Base Camp, WY US","05","99","99","    2.44"," ","S","15","    10.5"," ","S","15","    10.5"," ","S","15","     3.5"," ","S","15","     1.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.94"," ","S","15","    2.29"," ","S","15","    2.84"," ","S","15","    1.74"," ","S","15","    2.16"," ","S","15","    2.54"," ","S","15","    2.91"," ","S","15","    2.10"," ","S","15","    2.66"," ","S","15"
"USS0010F02S","06"," 43.9500","-110.4500","2142.7","Base Camp, WY US","06","99","99","    1.99"," ","S","15","     7.6"," ","S","15","     7.6"," ","S","15","     2.8"," ","S","15","     1.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.05"," ","S","15","    2.00"," ","S","15","    2.40"," ","S","15","    0.94"," ","S","15","    1.32"," ","S","15","    2.24"," ","S","15","    2.56"," ","S","15","    1.17"," ","S","15","    2.30"," ","S","15"
"USS0010F02S","07"," 43.9500","-110.4500","2142.7","Base Camp, WY US","07","99","99","    0.94"," ","S","15","     5.0"," ","S","15","     5.0"," ","S","15","     1.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.45"," ","S","15","    1.00"," ","S","15","    1.19"," ","S","15","    0.40"," ","S","15","    0.86"," ","S","15","    1.09"," ","S","15","    1.30"," ","S","15","    0.69"," ","S","15","    1.09"," ","S","15"
"USS0010F02S","08"," 43.9500","-110.4500","2142.7","Base Camp, WY US","08","99","99","    1.04"," ","S","15","     5.0"," ","S","15","     5.0"," ","S","15","     1.5"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.49"," ","S","15","    0.89"," ","S","15","    1.34"," ","S","15","    0.47"," ","S","15","    0.61"," ","S","15","    1.04"," ","S","15","    1.59"," ","S","15","    0.50"," ","S","15","    1.10"," ","S","15"
"USS0010F02S","09"," 43.9500","-110.4500","2142.7","Base Camp, WY US","09","99","99","    2.19"," ","S","14","     7.0"," ","S","15","     7.0"," ","S","15","     2.8"," ","S","15","     1.5"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.15"," ","S","14","    1.89"," ","S","14","    2.65"," ","S","14","    0.98"," ","S","14","    1.59"," ","S","14","    2.16"," ","S","14","    3.02"," ","S","14","    1.30"," ","S","14","    2.43"," ","S","14"
"USS0010F02S","10"," 43.9500","-110.4500","2142.7","Base Camp, WY US","10","99","99","    2.87"," ","S","15","    10.3"," ","S","15","    10.3"," ","S","15","     4.0"," ","S","15","     1.8"," ","S","15","     0.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.94"," ","S","15","    2.49"," ","S","15","    3.10"," ","S","15","    1.87"," ","S","15","    2.21"," ","S","15","    2.54"," ","S","15","    3.62"," ","S","15","    2.06"," ","S","15","    2.63"," ","S","15"
