"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0014G01S","01"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","01","99","99","    3.82"," ","S","15","    12.7"," ","S","15","    12.7"," ","S","15","     5.3"," ","S","15","     2.3"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.34"," ","S","15","    3.19"," ","S","15","    5.25"," ","S","15","    2.26"," ","S","15","    2.87"," ","S","15","    3.81"," ","S","15","    5.66"," ","S","15","    2.60"," ","S","15","    4.73"," ","S","15"
"USS0014G01S","02"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","02","99","99","    3.23"," ","S","14","    11.3"," ","S","15","    11.3"," ","S","15","     4.0"," ","S","15","     2.0"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.24"," ","S","14","    2.50"," ","S","14","    3.35"," ","S","14","    2.20"," ","S","14","    2.39"," ","S","14","    2.58"," ","S","14","    4.12"," ","S","14","    2.35"," ","S","14","    2.73"," ","S","14"
"USS0014G01S","03"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","03","99","99","    3.01"," ","S","15","    12.4"," ","S","15","    12.4"," ","S","15","     4.2"," ","S","15","     1.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.14"," ","S","15","    2.99"," ","S","15","    3.69"," ","S","15","    2.06"," ","S","15","    2.62"," ","S","15","    3.21"," ","S","15","    3.84"," ","S","15","    2.19"," ","S","15","    3.46"," ","S","15"
"USS0014G01S","04"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","04","99","99","    3.07"," ","S","15","    12.3"," ","S","15","    12.3"," ","S","15","     4.0"," ","S","15","     1.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.15"," ","S","15","    3.30"," ","S","15","    3.84"," ","S","15","    1.94"," ","S","15","    3.17"," ","S","15","    3.43"," ","S","15","    4.01"," ","S","15","    2.76"," ","S","15","    3.57"," ","S","15"
"USS0014G01S","05"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","05","99","99","    2.81"," ","S","15","    10.0"," ","S","15","    10.0"," ","S","15","     3.7"," ","S","15","     1.5"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.84"," ","S","15","    2.20"," ","S","15","    3.44"," ","S","15","    1.79"," ","S","15","    2.05"," ","S","15","    2.54"," ","S","15","    4.01"," ","S","15","    1.96"," ","S","15","    2.73"," ","S","15"
"USS0014G01S","06"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","06","99","99","    1.49"," ","S","15","     5.5"," ","S","15","     5.5"," ","S","15","     1.9"," ","S","15","     1.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.84"," ","S","15","    1.20"," ","S","15","    1.65"," ","S","15","    0.68"," ","S","15","    1.06"," ","S","15","    1.24"," ","S","15","    1.76"," ","S","15","    0.99"," ","S","15","    1.40"," ","S","15"
"USS0014G01S","07"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","07","99","99","    0.98"," ","S","15","     4.1"," ","S","15","     4.1"," ","S","15","     1.1"," ","S","15","     0.6"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.15"," ","S","15","    0.60"," ","S","15","    1.70"," ","S","15","    0.10"," ","S","15","    0.32"," ","S","15","    1.22"," ","S","15","    1.82"," ","S","15","    0.20"," ","S","15","    1.46"," ","S","15"
"USS0014G01S","08"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","08","99","99","    0.88"," ","S","15","     4.3"," ","S","15","     4.3"," ","S","15","     1.3"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.30"," ","S","15","    0.60"," ","S","15","    0.95"," ","S","15","    0.30"," ","S","15","    0.52"," ","S","15","    0.64"," ","S","15","    1.24"," ","S","15","    0.36"," ","S","15","    0.69"," ","S","15"
"USS0014G01S","09"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","09","99","99","    1.54"," ","S","15","     6.5"," ","S","15","     6.5"," ","S","15","     1.7"," ","S","15","     0.7"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.69"," ","S","15","    1.09"," ","S","15","    2.04"," ","S","15","    0.67"," ","S","15","    0.96"," ","S","15","    1.34"," ","S","15","    2.37"," ","S","15","    0.83"," ","S","15","    1.73"," ","S","15"
"USS0014G01S","10"," 42.1600","-114.1900","2286.0","Bostetter R.S., ID US","10","99","99","    2.44"," ","S","15","     9.1"," ","S","15","     9.1"," ","S","15","     3.5"," ","S","15","     1.6"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.34"," ","S","15","    2.39"," ","S","15","    3.49"," ","S","15","    1.27"," ","S","15","    1.67"," ","S","15","    2.58"," ","S","15","    3.63"," ","S","15","    1.46"," ","S","15","    2.93"," ","S","15"
