"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USS0015J22S","01"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","01","99","99","    2.99"," ","E"," 6"
"USS0015J22S","02"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","02","99","99","    2.52"," ","E"," 6"
"USS0015J22S","03"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","03","99","99","    2.88"," ","E"," 5"
"USS0015J22S","04"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","04","99","99","    3.25"," ","E"," 5"
"USS0015J22S","05"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","05","99","99","    2.37"," ","E"," 6"
"USS0015J22S","06"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","06","99","99","    1.04"," ","E"," 6"
"USS0015J22S","07"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","07","99","99","    0.80"," ","E"," 7"
"USS0015J22S","08"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","08","99","99","    0.71"," ","E"," 7"
"USS0015J22S","09"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","09","99","99","    0.97"," ","E"," 6"
"USS0015J22S","10"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","10","99","99","    1.96"," ","E"," 7"
"USS0015J22S","11"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","11","99","99","    1.58"," ","E"," 7"
"USS0015J22S","12"," 40.9800","-115.1700","2133.6","Tent Mtn Lower, NV US","12","99","99","    2.84"," ","E"," 7"
