"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0016D09S","01"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","01","99","99","    6.96"," ","S","15","    15.5"," ","S","15","    15.5"," ","S","15","     8.9"," ","S","15","     5.9"," ","S","15","     1.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    5.84"," ","S","15","    6.29"," ","S","15","    8.50"," ","S","15","    5.41"," ","S","15","    6.16"," ","S","15","    6.70"," ","S","15","    9.01"," ","S","15","    6.10"," ","S","15","    7.63"," ","S","15"
"USS0016D09S","02"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","02","99","99","    5.76"," ","S","15","    14.7"," ","S","15","    14.7"," ","S","15","     8.1"," ","S","15","     4.5"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    4.25"," ","S","15","    5.09"," ","S","15","    6.70"," ","S","15","    4.08"," ","S","15","    4.92"," ","S","15","    5.30"," ","S","15","    7.20"," ","S","15","    4.63"," ","S","15","    5.90"," ","S","15"
"USS0016D09S","03"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","03","99","99","    7.19"," ","S","15","    17.8"," ","S","15","    17.8"," ","S","15","     9.3"," ","S","15","     5.5"," ","S","15","     1.6"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    4.34"," ","S","15","    4.90"," ","S","15","   10.89"," ","S","15","    4.21"," ","S","15","    4.77"," ","S","15","    8.10"," ","S","15","   11.54"," ","S","15","    4.53"," ","S","15","    9.63"," ","S","15"
"USS0016D09S","04"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","04","99","99","    4.41"," ","S","15","    13.6"," ","S","15","    13.6"," ","S","15","     6.5"," ","S","15","     3.1"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.39"," ","S","15","    4.39"," ","S","15","    5.74"," ","S","15","    2.27"," ","S","15","    3.60"," ","S","15","    5.35"," ","S","15","    5.86"," ","S","15","    3.03"," ","S","15","    5.62"," ","S","15"
"USS0016D09S","05"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","05","99","99","    3.16"," ","S","15","    12.2"," ","S","15","    12.2"," ","S","15","     4.2"," ","S","15","     2.0"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.39"," ","S","15","    2.80"," ","S","15","    3.69"," ","S","15","    2.27"," ","S","15","    2.59"," ","S","15","    2.93"," ","S","15","    4.41"," ","S","15","    2.56"," ","S","15","    3.00"," ","S","15"
"USS0016D09S","06"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","06","99","99","    3.12"," ","S","15","    10.4"," ","S","15","    10.4"," ","S","15","     3.7"," ","S","15","     1.9"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.80"," ","S","15","    2.70"," ","S","15","    3.94"," ","S","15","    1.79"," ","S","15","    2.36"," ","S","15","    2.95"," ","S","15","    4.27"," ","S","15","    2.13"," ","S","15","    3.36"," ","S","15"
"USS0016D09S","07"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","07","99","99","    0.57"," ","S","15","     2.9"," ","S","15","     2.9"," ","S","15","     0.5"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.20"," ","S","15","    0.30"," ","S","15","    0.89"," ","S","15","    0.18"," ","S","15","    0.26"," ","S","15","    0.38"," ","S","15","    0.91"," ","S","15","    0.20"," ","S","15","    0.63"," ","S","15"
"USS0016D09S","08"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","08","99","99","    0.58"," ","S","15","     3.8"," ","S","15","     3.8"," ","S","15","     0.5"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.20"," ","S","15","    0.60"," ","S","15","    0.80"," ","S","15","    0.18"," ","S","15","    0.50"," ","S","15","    0.68"," ","S","15","    0.84"," ","S","15","    0.40"," ","S","15","    0.80"," ","S","15"
"USS0016D09S","09"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","09","99","99","    1.66"," ","S","15","     5.6"," ","S","15","     5.6"," ","S","15","     2.3"," ","S","15","     1.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.60"," ","S","15","    1.30"," ","S","15","    2.34"," ","S","15","    0.18"," ","S","15","    1.06"," ","S","15","    1.60"," ","S","15","    2.99"," ","S","15","    1.00"," ","S","15","    1.63"," ","S","15"
"USS0016D09S","10"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","10","99","99","    3.65"," ","S","15","    10.3"," ","S","15","    10.3"," ","S","15","     4.5"," ","S","15","     2.5"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.65"," ","S","15","    3.50"," ","S","15","    4.89"," ","S","15","    2.14"," ","S","15","    3.25"," ","S","15","    3.93"," ","S","15","    5.08"," ","S","15","    3.12"," ","S","15","    4.46"," ","S","15"
"USS0016D09S","11"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","11","99","99","    5.88"," ","S","15","    14.5"," ","S","15","    14.5"," ","S","15","     7.6"," ","S","15","     4.5"," ","S","15","     1.3"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    4.40"," ","S","15","    5.60"," ","S","15","    7.75"," ","S","15","    4.18"," ","S","15","    5.01"," ","S","15","    6.01"," ","S","15","    7.82"," ","S","15","    4.56"," ","S","15","    6.90"," ","S","15"
"USS0016D09S","12"," 45.0400","-116.1300","1905.0","Brundage Reservoir, ID US","12","99","99","    7.34"," ","S","14","    15.1"," ","S","15","    15.1"," ","S","15","     9.2"," ","S","15","     5.9"," ","S","15","     2.2"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    5.60"," ","S","14","    6.61"," ","S","14","    8.94"," ","S","14","    5.47"," ","S","14","    6.19"," ","S","14","    7.52"," ","S","14","    9.28"," ","S","14","    5.99"," ","S","14","    8.03"," ","S","14"
