"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0022C12S","01"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","01","99","99","   12.91"," ","S","15","    18.9"," ","S","15","    18.9"," ","S","15","    14.5"," ","S","15","    10.4"," ","S","15","     4.5"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","   10.20"," ","S","15","   11.79"," ","S","15","   13.80"," ","S","15","    9.54"," ","S","15","   11.34"," ","S","15","   12.67"," ","S","15","   14.19"," ","S","15","   11.00"," ","S","15","   13.33"," ","S","15"
"USS0022C12S","02"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","02","99","99","   10.19"," ","S","15","    17.6"," ","S","15","    17.6"," ","S","15","    11.6"," ","S","15","     8.1"," ","S","15","     3.3"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    8.09"," ","S","15","   10.01"," ","S","15","   11.85"," ","S","15","    7.90"," ","S","15","    8.66"," ","S","15","   11.12"," ","S","15","   12.06"," ","S","15","    8.46"," ","S","15","   11.43"," ","S","15"
"USS0022C12S","03"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","03","99","99","   10.61"," ","S","15","    19.3"," ","S","15","    19.3"," ","S","15","    13.7"," ","S","15","     9.6"," ","S","15","     3.1"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    6.90"," ","S","15","    9.99"," ","S","15","   14.44"," ","S","15","    6.87"," ","S","15","    9.39"," ","S","15","   11.10"," ","S","15","   15.58"," ","S","15","    8.56"," ","S","15","   12.06"," ","S","15"
"USS0022C12S","04"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","04","99","99","    7.33"," ","S","14","    16.2"," ","S","15","    16.2"," ","S","15","    10.5"," ","S","15","     6.3"," ","S","15","     1.8"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    4.99"," ","S","14","    7.39"," ","S","14","    9.99"," ","S","14","    4.55"," ","S","14","    6.23"," ","S","14","    8.64"," ","S","14","   10.26"," ","S","14","    5.36"," ","S","14","    9.27"," ","S","14"
"USS0022C12S","05"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","05","99","99","    5.37"," ","S","15","    11.5"," ","S","15","    11.5"," ","S","15","     7.1"," ","S","15","     5.0"," ","S","15","     1.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.55"," ","S","15","    5.60"," ","S","15","    7.05"," ","S","15","    3.28"," ","S","15","    4.72"," ","S","15","    6.22"," ","S","15","    7.10"," ","S","15","    4.29"," ","S","15","    6.80"," ","S","15"
"USS0022C12S","06"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","06","99","99","    4.00"," ","S","15","     9.3"," ","S","15","     9.3"," ","S","15","     5.3"," ","S","15","     3.1"," ","S","15","     0.9"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    3.05"," ","S","15","    3.90"," ","S","15","    4.70"," ","S","15","    2.90"," ","S","15","    3.67"," ","S","15","    4.13"," ","S","15","    4.90"," ","S","15","    3.36"," ","S","15","    4.33"," ","S","15"
"USS0022C12S","07"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","07","99","99","    0.85"," ","S","13","     3.0"," ","S","14","     3.0"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.25"," ","S","13","    1.10"," ","S","13","    1.33"," ","S","13","    0.16"," ","S","13","    0.72"," ","S","13","    1.14"," ","S","13","    1.40"," ","S","13","    0.30"," ","S","13","    1.22"," ","S","13"
"USS0022C12S","08"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","08","99","99","    1.32"," ","S","13","     4.9"," ","S","15","     4.9"," ","S","15","     1.7"," ","S","15","     0.8"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.48"," ","S","13","    1.40"," ","S","13","    1.75"," ","S","13","    0.45"," ","S","13","    1.24"," ","S","13","    1.49"," ","S","13","    1.90"," ","S","13","    0.83"," ","S","13","    1.56"," ","S","13"
"USS0022C12S","09"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","09","99","99","    3.74"," ","S","14","     8.7"," ","S","15","     8.7"," ","S","15","     4.4"," ","S","15","     2.6"," ","S","15","     1.0"," ","S","15","     0.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.22"," ","S","14","    3.20"," ","S","14","    4.25"," ","S","14","    1.90"," ","S","14","    2.62"," ","S","14","    3.94"," ","S","14","    4.34"," ","S","14","    2.50"," ","S","14","    4.07"," ","S","14"
"USS0022C12S","10"," 46.2600","-122.1800","1072.9","Spirit Lake, WA US","10","99","99","   10.26"," ","S","14","    15.3"," ","S","15","    15.3"," ","S","15","    10.0"," ","S","15","     7.5"," ","S","15","     3.3"," ","S","15","     1.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    7.44"," ","S","14","    9.69"," ","S","14","   11.40"," ","S","14","    7.22"," ","S","14","    8.99"," ","S","14","   10.72"," ","S","14","   12.08"," ","S","14","    8.09"," ","S","14","   10.80"," ","S","14"
