"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-TAVG-NORMAL","meas_flag_MLY-TAVG-NORMAL","comp_flag_MLY-TAVG-NORMAL","years_MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","meas_flag_MLY-TMAX-NORMAL","comp_flag_MLY-TMAX-NORMAL","years_MLY-TMAX-NORMAL","MLY-TMIN-NORMAL","meas_flag_MLY-TMIN-NORMAL","comp_flag_MLY-TMIN-NORMAL","years_MLY-TMIN-NORMAL","MLY-DUTR-NORMAL","meas_flag_MLY-DUTR-NORMAL","comp_flag_MLY-DUTR-NORMAL","years_MLY-DUTR-NORMAL","MLY-TMIN-AVGNDS-LSTH000","meas_flag_MLY-TMIN-AVGNDS-LSTH000","comp_flag_MLY-TMIN-AVGNDS-LSTH000","years_MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","meas_flag_MLY-TMIN-AVGNDS-LSTH010","comp_flag_MLY-TMIN-AVGNDS-LSTH010","years_MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","meas_flag_MLY-TMIN-AVGNDS-LSTH020","comp_flag_MLY-TMIN-AVGNDS-LSTH020","years_MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","meas_flag_MLY-TMIN-AVGNDS-LSTH032","comp_flag_MLY-TMIN-AVGNDS-LSTH032","years_MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","meas_flag_MLY-TMIN-AVGNDS-LSTH040","comp_flag_MLY-TMIN-AVGNDS-LSTH040","years_MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","meas_flag_MLY-TMIN-AVGNDS-LSTH050","comp_flag_MLY-TMIN-AVGNDS-LSTH050","years_MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","meas_flag_MLY-TMIN-AVGNDS-LSTH060","comp_flag_MLY-TMIN-AVGNDS-LSTH060","years_MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","meas_flag_MLY-TMIN-AVGNDS-LSTH070","comp_flag_MLY-TMIN-AVGNDS-LSTH070","years_MLY-TMIN-AVGNDS-LSTH070","MLY-TMAX-AVGNDS-GRTH032","meas_flag_MLY-TMAX-AVGNDS-GRTH032","comp_flag_MLY-TMAX-AVGNDS-GRTH032","years_MLY-TMAX-AVGNDS-GRTH032","MLY-TMAX-AVGNDS-GRTH040","meas_flag_MLY-TMAX-AVGNDS-GRTH040","comp_flag_MLY-TMAX-AVGNDS-GRTH040","years_MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","meas_flag_MLY-TMAX-AVGNDS-GRTH050","comp_flag_MLY-TMAX-AVGNDS-GRTH050","years_MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","meas_flag_MLY-TMAX-AVGNDS-GRTH060","comp_flag_MLY-TMAX-AVGNDS-GRTH060","years_MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","meas_flag_MLY-TMAX-AVGNDS-GRTH070","comp_flag_MLY-TMAX-AVGNDS-GRTH070","years_MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","meas_flag_MLY-TMAX-AVGNDS-GRTH080","comp_flag_MLY-TMAX-AVGNDS-GRTH080","years_MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","meas_flag_MLY-TMAX-AVGNDS-GRTH090","comp_flag_MLY-TMAX-AVGNDS-GRTH090","years_MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","meas_flag_MLY-TMAX-AVGNDS-GRTH100","comp_flag_MLY-TMAX-AVGNDS-GRTH100","years_MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","meas_flag_MLY-TMAX-AVGNDS-LSTH032","comp_flag_MLY-TMAX-AVGNDS-LSTH032","years_MLY-TMAX-AVGNDS-LSTH032","MLY-HTDD-NORMAL","meas_flag_MLY-HTDD-NORMAL","comp_flag_MLY-HTDD-NORMAL","years_MLY-HTDD-NORMAL","MLY-HTDD-BASE40","meas_flag_MLY-HTDD-BASE40","comp_flag_MLY-HTDD-BASE40","years_MLY-HTDD-BASE40","MLY-HTDD-BASE45","meas_flag_MLY-HTDD-BASE45","comp_flag_MLY-HTDD-BASE45","years_MLY-HTDD-BASE45","MLY-HTDD-BASE50","meas_flag_MLY-HTDD-BASE50","comp_flag_MLY-HTDD-BASE50","years_MLY-HTDD-BASE50","MLY-HTDD-BASE55","meas_flag_MLY-HTDD-BASE55","comp_flag_MLY-HTDD-BASE55","years_MLY-HTDD-BASE55","MLY-HTDD-BASE57","meas_flag_MLY-HTDD-BASE57","comp_flag_MLY-HTDD-BASE57","years_MLY-HTDD-BASE57","MLY-HTDD-BASE60","meas_flag_MLY-HTDD-BASE60","comp_flag_MLY-HTDD-BASE60","years_MLY-HTDD-BASE60","MLY-CLDD-NORMAL","meas_flag_MLY-CLDD-NORMAL","comp_flag_MLY-CLDD-NORMAL","years_MLY-CLDD-NORMAL","MLY-CLDD-BASE40","meas_flag_MLY-CLDD-BASE40","comp_flag_MLY-CLDD-BASE40","years_MLY-CLDD-BASE40","MLY-CLDD-BASE45","meas_flag_MLY-CLDD-BASE45","comp_flag_MLY-CLDD-BASE45","years_MLY-CLDD-BASE45","MLY-CLDD-BASE50","meas_flag_MLY-CLDD-BASE50","comp_flag_MLY-CLDD-BASE50","years_MLY-CLDD-BASE50","MLY-CLDD-BASE55","meas_flag_MLY-CLDD-BASE55","comp_flag_MLY-CLDD-BASE55","years_MLY-CLDD-BASE55","MLY-CLDD-BASE57","meas_flag_MLY-CLDD-BASE57","comp_flag_MLY-CLDD-BASE57","years_MLY-CLDD-BASE57","MLY-CLDD-BASE60","meas_flag_MLY-CLDD-BASE60","comp_flag_MLY-CLDD-BASE60","years_MLY-CLDD-BASE60","MLY-CLDD-BASE70","meas_flag_MLY-CLDD-BASE70","comp_flag_MLY-CLDD-BASE70","years_MLY-CLDD-BASE70","MLY-CLDD-BASE72","meas_flag_MLY-CLDD-BASE72","comp_flag_MLY-CLDD-BASE72","years_MLY-CLDD-BASE72","MLY-GRDD-BASE65","meas_flag_MLY-GRDD-BASE65","comp_flag_MLY-GRDD-BASE65","years_MLY-GRDD-BASE65","MLY-GRDD-BASE40","meas_flag_MLY-GRDD-BASE40","comp_flag_MLY-GRDD-BASE40","years_MLY-GRDD-BASE40","MLY-GRDD-BASE45","meas_flag_MLY-GRDD-BASE45","comp_flag_MLY-GRDD-BASE45","years_MLY-GRDD-BASE45","MLY-GRDD-BASE50","meas_flag_MLY-GRDD-BASE50","comp_flag_MLY-GRDD-BASE50","years_MLY-GRDD-BASE50","MLY-GRDD-BASE55","meas_flag_MLY-GRDD-BASE55","comp_flag_MLY-GRDD-BASE55","years_MLY-GRDD-BASE55","MLY-GRDD-BASE57","meas_flag_MLY-GRDD-BASE57","comp_flag_MLY-GRDD-BASE57","years_MLY-GRDD-BASE57","MLY-GRDD-BASE60","meas_flag_MLY-GRDD-BASE60","comp_flag_MLY-GRDD-BASE60","years_MLY-GRDD-BASE60","MLY-GRDD-BASE70","meas_flag_MLY-GRDD-BASE70","comp_flag_MLY-GRDD-BASE70","years_MLY-GRDD-BASE70","MLY-GRDD-BASE72","meas_flag_MLY-GRDD-BASE72","comp_flag_MLY-GRDD-BASE72","years_MLY-GRDD-BASE72","MLY-GRDD-TB4886","meas_flag_MLY-GRDD-TB4886","comp_flag_MLY-GRDD-TB4886","years_MLY-GRDD-TB4886","MLY-GRDD-TB5086","meas_flag_MLY-GRDD-TB5086","comp_flag_MLY-GRDD-TB5086","years_MLY-GRDD-TB5086"
"USW00013829","01"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","01","99","99","    46.9"," ","E"," 8","    61.2"," ","E"," 8","    32.5"," ","E"," 8","    28.7"," ","E"," 8","     0.0"," ","E"," 8","     0.2"," ","E"," 8","     5.7"," ","E"," 8","    19.7"," ","E"," 8","    24.3"," ","E"," 8","    28.6"," ","E"," 8","    30.9"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    30.1"," ","E"," 8","    26.2"," ","E"," 8","    17.5"," ","E"," 8","     5.3"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   564.9"," ","E"," 8","    35.7"," ","E"," 8","    87.0"," ","E"," 8","   171.1"," ","E"," 8","   284.6"," ","E"," 8","   336.0"," ","E"," 8","   418.7"," ","E"," 8","     2.5"," ","E"," 8","   248.4"," ","E"," 8","   144.8"," ","E"," 8","    73.9"," ","E"," 8","    32.6"," ","E"," 8","    21.9"," ","E"," 8","    11.3"," ","E"," 8","     0.4"," ","E"," 8","     0.2"," ","E"," 8","     2.5"," ","E"," 8","   248.4"," ","E"," 8","   144.8"," ","E"," 8","    73.9"," ","E"," 8","    32.6"," ","E"," 8","    21.9"," ","E"," 8","    11.3"," ","E"," 8","     0.4"," ","E"," 8","     0.2"," ","E"," 8","   218.7"," ","E"," 8","   187.9"," ","E"," 8"
"USW00013829","02"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","02","99","99","    50.4"," ","E"," 7","    65.2"," ","E"," 7","    35.5"," ","E"," 7","    29.7"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.9"," ","E"," 7","    12.8"," ","E"," 7","    19.2"," ","E"," 7","    24.2"," ","E"," 7","    27.7"," ","E"," 7","    28.0"," ","E"," 7","    28.0"," ","E"," 7","    28.0"," ","E"," 7","    26.3"," ","E"," 7","    21.4"," ","E"," 7","    11.1"," ","E"," 7","     2.0"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","   413.5"," ","E"," 7","    12.8"," ","E"," 7","    40.4"," ","E"," 7","    95.4"," ","E"," 7","   179.3"," ","E"," 7","   220.2"," ","E"," 7","   287.5"," ","E"," 7","     3.4"," ","E"," 7","   302.7"," ","E"," 7","   190.4"," ","E"," 7","   105.4"," ","E"," 7","    49.4"," ","E"," 7","    34.2"," ","E"," 7","    17.4"," ","E"," 7","     0.3"," ","E"," 7","     0.2"," ","E"," 7","     3.4"," ","E"," 7","   302.7"," ","E"," 7","   190.4"," ","E"," 7","   105.4"," ","E"," 7","    49.4"," ","E"," 7","    34.2"," ","E"," 7","    17.4"," ","E"," 7","     0.3"," ","E"," 7","     0.2"," ","E"," 7","   252.6"," ","E"," 7","   222.9"," ","E"," 7"
"USW00013829","03"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","03","99","99","    57.6"," ","E"," 9","    72.6"," ","E"," 9","    42.6"," ","E"," 9","    30.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     5.4"," ","E"," 9","    13.1"," ","E"," 9","    22.9"," ","E"," 9","    30.4"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    30.8"," ","E"," 9","    28.5"," ","E"," 9","    20.9"," ","E"," 9","     7.8"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   248.4"," ","E"," 9","     1.1"," ","E"," 9","     5.2"," ","E"," 9","    23.5"," ","E"," 9","    66.0"," ","E"," 9","    92.4"," ","E"," 9","   141.9"," ","E"," 9","    18.9"," ","E"," 9","   546.6"," ","E"," 9","   395.6"," ","E"," 9","   258.9"," ","E"," 9","   146.4"," ","E"," 9","   110.8"," ","E"," 9","    67.4"," ","E"," 9","     2.4"," ","E"," 9","     0.8"," ","E"," 9","    18.9"," ","E"," 9","   546.6"," ","E"," 9","   395.6"," ","E"," 9","   258.9"," ","E"," 9","   146.4"," ","E"," 9","   110.8"," ","E"," 9","    67.4"," ","E"," 9","     2.4"," ","E"," 9","     0.8"," ","E"," 9","   407.1"," ","E"," 9","   367.6"," ","E"," 9"
"USW00013829","04"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","04","99","99","    64.1"," ","E"," 7","    79.9"," ","E"," 7","    48.2"," ","E"," 7","    31.7"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","     0.2"," ","E"," 7","     6.5"," ","E"," 7","    18.4"," ","E"," 7","    27.9"," ","E"," 7","    30.0"," ","E"," 7","    30.0"," ","E"," 7","    30.0"," ","E"," 7","    30.0"," ","E"," 7","    29.8"," ","E"," 7","    27.5"," ","E"," 7","    17.2"," ","E"," 7","     0.2"," ","E"," 7","     0.0"," ","E"," 7","     0.0"," ","E"," 7","    85.7"," ","E"," 7","     0.0"," ","E"," 7","     0.1"," ","E"," 7","     1.3"," ","E"," 7","     6.0"," ","E"," 7","    11.2"," ","E"," 7","    26.3"," ","E"," 7","    57.2"," ","E"," 7","   721.6"," ","E"," 7","   571.7"," ","E"," 7","   422.8"," ","E"," 7","   277.6"," ","E"," 7","   222.8"," ","E"," 7","   147.8"," ","E"," 7","    13.6"," ","E"," 7","     6.2"," ","E"," 7","    57.2"," ","E"," 7","   721.6"," ","E"," 7","   571.7"," ","E"," 7","   422.8"," ","E"," 7","   277.6"," ","E"," 7","   222.8"," ","E"," 7","   147.8"," ","E"," 7","    13.6"," ","E"," 7","     6.2"," ","E"," 7","   524.2"," ","E"," 7","   480.4"," ","E"," 7"
"USW00013829","05"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","05","99","99","    72.1"," ","E","11","    86.3"," ","E","11","    57.8"," ","E","11","    28.5"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.8"," ","E","11","     6.0"," ","E","11","    17.6"," ","E","11","    30.5"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    30.8"," ","E","11","    26.8"," ","E","11","     7.7"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","    15.5"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0","X","E","11","     0.3"," ","E","11","     2.3"," ","E","11","   234.1"," ","E","11","   993.6"," ","E","11","   838.6"," ","E","11","   683.6"," ","E","11","   528.6"," ","E","11","   466.8"," ","E","11","   375.8"," ","E","11","   111.2"," ","E","11","    70.7"," ","E","11","   234.1"," ","E","11","   993.6"," ","E","11","   838.6"," ","E","11","   683.6"," ","E","11","   528.6"," ","E","11","   466.8"," ","E","11","   375.8"," ","E","11","   111.2"," ","E","11","    70.7"," ","E","11","   719.3"," ","E","11","   662.2"," ","E","11"
"USW00013829","06"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","06","99","99","    79.5"," ","E"," 9","    92.2"," ","E"," 9","    66.7"," ","E"," 9","    25.5"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     2.8"," ","E"," 9","    24.2"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    23.5"," ","E"," 9","     0.7"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   433.3"," ","E"," 9","  1183.2"," ","E"," 9","  1033.2"," ","E"," 9","   883.2"," ","E"," 9","   733.0"," ","E"," 9","   673.2"," ","E"," 9","   583.3"," ","E"," 9","   283.5"," ","E"," 9","   224.0"," ","E"," 9","   433.3"," ","E"," 9","  1183.2"," ","E"," 9","  1033.2"," ","E"," 9","   883.2"," ","E"," 9","   733.0"," ","E"," 9","   673.2"," ","E"," 9","   583.3"," ","E"," 9","   283.5"," ","E"," 9","   224.0"," ","E"," 9","   848.9"," ","E"," 9","   788.9"," ","E"," 9"
"USW00013829","07"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","07","99","99","    81.5"," ","E","12","    93.2"," ","E","12","    69.7"," ","E","12","    23.5"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.7"," ","E","12","    16.1"," ","E","12","    31.0"," ","E","12","    31.0"," ","E","12","    31.0"," ","E","12","    31.0"," ","E","12","    31.0"," ","E","12","    30.9"," ","E","12","    27.6"," ","E","12","     1.1"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","     0.0"," ","E","12","   510.0"," ","E","12","  1285.0"," ","E","12","  1130.0"," ","E","12","   975.0"," ","E","12","   820.0"," ","E","12","   758.0"," ","E","12","   665.0"," ","E","12","   355.0"," ","E","12","   293.0"," ","E","12","   510.0"," ","E","12","  1285.0"," ","E","12","  1130.0"," ","E","12","   975.0"," ","E","12","   820.0"," ","E","12","   758.0"," ","E","12","   665.0"," ","E","12","   355.0"," ","E","12","   293.0"," ","E","12","   924.5"," ","E","12","   862.5"," ","E","12"
"USW00013829","08"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","08","99","99","    81.4"," ","E","11","    93.1"," ","E","11","    69.7"," ","E","11","    23.4"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.9"," ","E","11","    16.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    30.9"," ","E","11","    25.8"," ","E","11","     1.4"," ","E","11","     0.0"," ","E","11","     0.0","X","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","   508.3"," ","E","11","  1283.2"," ","E","11","  1128.2"," ","E","11","   973.2"," ","E","11","   818.1"," ","E","11","   756.2"," ","E","11","   663.2"," ","E","11","   353.3"," ","E","11","   291.4"," ","E","11","   508.3"," ","E","11","  1283.2"," ","E","11","  1128.2"," ","E","11","   973.2"," ","E","11","   818.1"," ","E","11","   756.2"," ","E","11","   663.2"," ","E","11","   353.3"," ","E","11","   291.4"," ","E","11","   923.3"," ","E","11","   861.3"," ","E","11"
"USW00013829","09"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","09","99","99","    77.0"," ","E"," 9","    89.5"," ","E"," 9","    64.4"," ","E"," 9","    25.1"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.8"," ","E"," 9","     6.9"," ","E"," 9","    26.1"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    27.9"," ","E"," 9","    16.9"," ","E"," 9","     0.6"," ","E"," 9","     0.0"," ","E"," 9","     1.2"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.1"," ","E"," 9","   359.6"," ","E"," 9","  1108.2"," ","E"," 9","   958.2"," ","E"," 9","   808.3"," ","E"," 9","   658.1"," ","E"," 9","   598.2"," ","E"," 9","   508.4"," ","E"," 9","   217.2"," ","E"," 9","   164.9"," ","E"," 9","   359.6"," ","E"," 9","  1108.2"," ","E"," 9","   958.2"," ","E"," 9","   808.3"," ","E"," 9","   658.1"," ","E"," 9","   598.2"," ","E"," 9","   508.4"," ","E"," 9","   217.2"," ","E"," 9","   164.9"," ","E"," 9","   801.7"," ","E"," 9","   742.3"," ","E"," 9"
"USW00013829","10"," 32.3500"," -85.0000","  88.1","FT BENNING LAWSON FLD, GA US","10","99","99","    66.3"," ","E","11","    80.9"," ","E","11","    51.6"," ","E","11","    29.3"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.0"," ","E","11","     0.5"," ","E","11","     4.2"," ","E","11","    13.5"," ","E","11","    24.0"," ","E","11","    30.6"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    31.0"," ","E","11","    30.8"," ","E","11","    28.6"," ","E","11","    21.3"," ","E","11","     2.8"," ","E","11","     0.3"," ","E","11","     0.0"," ","E","11","    78.0"," ","E","11","     0.0","X","E","11","     0.2"," ","E","11","     1.5"," ","E","11","     8.7"," ","E","11","    15.4"," ","E","11","    30.1"," ","E","11","   116.7"," ","E","11","   813.7"," ","E","11","   658.9"," ","E","11","   505.2"," ","E","11","   357.4"," ","E","11","   302.0"," ","E","11","   223.8"," ","E","11","    45.5"," ","E","11","    28.6"," ","E","11","   116.7"," ","E","11","   813.7"," ","E","11","   658.9"," ","E","11","   505.2"," ","E","11","   357.4"," ","E","11","   302.0"," ","E","11","   223.8"," ","E","11","    45.5"," ","E","11","    28.6"," ","E","11","   592.3"," ","E","11","   542.9"," ","E","11"
