Company Name,Median Salary
CloudKitchens,425
PDT-Partners,425
Chime,420
DFINITY,400
Hudson-River-Trading,400
Jane-Street,375
Airtable,350
Brex,340
Citadel,340
Aurora,330
Dapper-Labs,330
Roku,305
Epic-Games,300
Stitch-Fix,290
Latch,286
Five-Rings,285
BitGo,280
Doma,280
Remitly,280
Anaplan,278
Tanium,275
HBO,270
NIO,270
Automation-Anywhere,268
Coupa-Software,268
Highspot,263
Niantic,260
Pure-Storage,258
Notion,257
Palo-Alto-Networks,252
Anchorage,250
BitMEX,250
Cerebras-Systems,250
DiDi,250
IMC,250
Optiver,250
Scale-AI,250
Segment,250
Thumbtack,250
Attentive,245
Better-Mortgage,245
Discord,245
LiveRamp,245
Credit-Karma,244
PagerDuty,243
Apixio,242
8x8,240
Juniper-Square,240
StockX,240
Intuitive,239
Gemini,235
Logitech,235
Scribd,235
The-Trade-Desk,235
Color,232
Haven-Life,232
Rippling,231
AppLovin,230
Bridgewater-Associates,230
Hulu,230
Interactive-Brokers,230
Jefferies,230
PepsiCo,230
Netskope,228
Chan-Zuckerberg-Initiative,225
Millennium,225
Moveworks,225
CarGurus,224
StubHub,220
Tencent,220
Alteryx,219
Amplitude,217
Braze,217
Checkr,217
Fastly,217
GoodRx,217
Infinera,216
Mission-Lane,216
AppDynamics,215
Flatiron-Health,215
Hippo,215
Jump-Trading,215
Outreach,215
Smartsheet,215
Strava,213
Medallia,212
Coda,210
Eightfold,210
Invitae,210
Rivian,210
Ripple,208
CrowdStrike,207
Guardant-Health,207
NerdWallet,206
Blink-Health,205
Cameo,205
Datadog,205
Patreon,205
JUUL-Labs,204
Peloton,204
Accolade,203
OpenTable,201
Akuna-Capital,200
Bolt,200
Confluent,200
Glu-Mobile,200
HashiCorp,200
LendingClub,200
NortonLifeLock,200
One-Medical,200
OpenAI,200
Petal,200
Procore-Technologies,200
Riot-Games,200
Skydio,200
The-Voleon-Group,200
TripActions,200
fuboTV,199
Hyperscience,198
Dataminr,197
FireEye,197
Hinge-Health,197
DigitalOcean,196
Glossier,195
Iterable,195
Silicon-Valley-Bank,195
Figma,193
MarketAxess,193
Evernote,192
Ramp,192
Treasure-Data,192
Aetna,190
Codecademy,190
Docker,190
Eaze,190
Equinix,190
FICO,190
Gigamon,190
OfferUp,190
Personal-Capital,190
Roche,190
Sift,190
