Basket Holdings: 62AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
LLY,Eli Lilly and Co,13.35
UNH,UnitedHealth Group Inc,8.04
JNJ,Johnson & Johnson,7.31
ABBV,AbbVie Inc,6.8
ABT,Abbott Laboratories,4.41
MRK,Merck & Co Inc,4.29
ISRG,Intuitive Surgical Inc,3.76
TMO,Thermo Fisher Scientific Inc,3.72
AMGN,Amgen Inc,3.05
BSX,Boston Scientific Corp,2.82
PFE,Pfizer Inc,2.76
GILD,Gilead Sciences Inc,2.62
DHR,Danaher Corp,2.46
SYK,Stryker Corp,2.44
VRTX,Vertex Pharmaceuticals Inc,2.27
BMY,Bristol-Myers Squibb Co,2.23
MDT,Medtronic PLC,2.17
ELV,Elevance Health Inc,1.69
CI,The Cigna Group,1.58
CVS,CVS Health Corp,1.52
MCK,McKesson Corp,1.5
ZTS,Zoetis Inc Class A,1.39
REGN,Regeneron Pharmaceuticals Inc,1.35
BDX,Becton Dickinson & Co,1.2
HCA,HCA Healthcare Inc,1.03
COR,Cencora Inc,0.82
EW,Edwards Lifesciences Corp,0.78
GEHC,GE HealthCare Technologies Inc Common Stock,0.73
A,Agilent Technologies Inc,0.68
IDXX,IDEXX Laboratories Inc,0.66
DXCM,DexCom Inc,0.64
RMD,ResMed Inc,0.63
IQV,IQVIA Holdings Inc,0.6
HUM,Humana Inc,0.6
CAH,Cardinal Health Inc,0.58
CNC,Centene Corp,0.54
MTD,Mettler-Toledo International Inc,0.49
WAT,Waters Corp,0.41
STE,Steris PLC,0.4
LH,Labcorp Holdings Inc,0.39
ZBH,Zimmer Biomet Holdings Inc,0.38
BIIB,Biogen Inc,0.38
DGX,Quest Diagnostics Inc,0.36
PODD,Insulet Corp,0.35
COO,The Cooper Companies Inc,0.33
BAX,Baxter International Inc,0.32
MOH,Molina Healthcare Inc,0.32
WST,West Pharmaceutical Services Inc,0.31
HOLX,Hologic Inc,0.27
RVTY,Revvity Inc,0.25
ALGN,Align Technology Inc,0.24
INCY,Incyte Corp,0.22
SOLV,Solventum Corp,0.2
VTRS,Viatris Inc,0.2
MRNA,Moderna Inc,0.19
UHS,Universal Health Services Inc Class B,0.19
TECH,Bio-Techne Corp,0.18
HSIC,Henry Schein Inc,0.17
CRL,Charles River Laboratories International Inc,0.16
DVA,DaVita Inc,0.12
TFX,Teleflex Inc,0.11
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.05
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
